ticker,et,verdict,entry,gap,adv,max_up,max_dn,prior_mom,cik,revenue,concept,period,market_cap,as_of,rev_per_cap,cash,rnd,opcf,net_income,liabilities,equity,opex,burn_annual,runway_years,cash_per_cap,liab_per_cash,equity_per_cap,is_profitable,pre_revenue,log_cap,log_price,log_adv,up,dn,burn_rank,tercile,q,capq
CGEM,2025-06-04 20:04:09+00:00,SILENT,8.970000267028809,-0.011025295607504204,2912795.459508896,0.034559582688291846,-0.19119287642518223,0.06455389759508434,0001789972,,,,454282070.17026377,2025-10-29,,88332000.0,187402000.0,-175750000.0,-219879000.0,39644000.0,408730000.0,241648000.0,175750000.0,0.5026002844950214,0.1944430691858329,0.4488067744418784,0.8997273430730142,False,True,8.657325596203178,0.9527924559726468,6.464309988944368,False,False,0.8,HIGH,2025Q2,mid
COGT,2025-06-05 12:15:25+00:00,NEGATIVE,6.110000133514404,0.020033450247334494,4870436.002111435,0.8968903272218836,0.0,0.06394309935338183,0001622229,,,,2264549775.2601013,2025-10-30,,312012000.0,269780000.0,-264444000.0,-328937000.0,301236000.0,636371000.0,333363000.0,264444000.0,1.1798792939147797,0.13778102976966491,0.9654628668128149,0.2810143574463528,False,True,9.354981871004059,0.7860412197326636,6.687567841057627,True,False,0.9523809523809523,HIGH,2025Q2,large
TVRD,2025-06-09 10:05:53+00:00,POSITIVE,26.510000228881836,-0.014498118779889602,1304069.9983596802,0.206337203550647,-0.20256509969332048,0.05697441305001161,0001346830,7137000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2024,36947086.55658102,2025-11-06,0.19316814030980087,20734000.0,18011000.0,-23499000.0,-18210000.0,11127000.0,20946000.0,26748000.0,23499000.0,0.882335418528448,0.5611809193195196,0.5366547699430887,0.5669188548310339,False,False,7.567580198014041,1.423409731482702,6.115300903577996,False,False,0.09090909090909091,LOW,2025Q2,small
AXSM,2025-06-09 11:05:59+00:00,POSITIVE,110.12000274658203,0.002275416344319492,62366755.392456055,0.04126406288527584,-0.09743918533698581,-0.0211154237553004,0001579428,638496000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,6464737793.137253,2025-10-26,0.09876595469623002,322933000.0,183279000.0,-93405000.0,-183174000.0,601510000.0,88295000.0,805258000.0,93405000.0,3.4573416840640223,0.0499529927327934,1.8626464313030877,0.013657939861649298,False,False,9.810550914784404,2.041866213553343,7.794953150627915,False,False,0.5652173913043478,MID,2025Q2,large
NAMS,2025-06-09 11:28:48+00:00,POSITIVE,20.899999618530273,0.03670633813090807,12407922.755813599,0.08851676627924365,-0.15645935490182672,0.006490222481783325,0001936258,22503000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,4036040689.315567,2025-10-29,0.005575513661091476,490002000.0,141832000.0,-147783000.0,-203000000.0,85853000.0,683431000.0,248186000.0,147783000.0,3.3156858366659225,0.1214066055620204,0.17520948894086147,0.1693320391464875,False,False,9.60595553592368,1.3201462781842503,7.093699081160454,False,False,0.7083333333333334,HIGH,2025Q2,large
MBX,2025-06-09 11:59:27+00:00,POSITIVE,11.399999618530273,0.003521123508970936,2367512.9709243774,0.29254387278452665,-0.17280696309430854,0.0070921919858044635,0001776111,,,,737721266.6038971,2025-11-02,,75289000.0,79159000.0,-79949000.0,-87000000.0,15921000.0,369223000.0,98055000.0,79949000.0,0.9417128419367347,0.10205616051519462,0.21146515427220444,0.5004911973050737,False,True,8.867892303230096,1.0569048368039988,6.3742923670567055,False,False,0.48,MID,2025Q2,mid
INSM,2025-06-10 11:00:27+00:00,POSITIVE,92.0,0.011767290126835306,141602399.41329956,0.1611956720766814,-0.012391297713569949,0.2517896622963596,0001104506,606423000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,41053211194.94586,2025-10-30,0.014771633749192752,510445000.0,771093000.0,-935014000.0,-1276775000.0,1525582000.0,738976000.0,1853192000.0,935014000.0,0.5459223070456699,0.01243374111652542,2.9887294419575077,0.01800044329031627,False,False,10.613347133433551,1.9637878273455553,8.151070612415383,False,False,1.0,HIGH,2025Q2,large
UNCY,2025-06-10 13:29:20+00:00,SILENT,5.849999904632568,0.09962400674240546,809513.7968444824,0.4095727221101406,-0.26324786101851283,-0.1815384351290189,0001766140,,,,90781125.36190891,2025-11-12,,29198000.0,9121000.0,-31317000.0,-26555000.0,18938000.0,30197000.0,29517000.0,31317000.0,0.9323370693233707,0.32163073418179133,0.6486060689088293,0.3326352243334322,False,True,7.957995562141551,0.7671558590022575,5.908224254994723,False,False,0.18518518518518517,LOW,2025Q2,small
NVAX,2025-06-11 11:01:14+00:00,MIXED,7.090000152587891,0.0,51356594.52691078,0.026798314969162185,-0.13540197707845847,0.10608429350436199,0001000694,1123479000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1361093403.6876822,2025-10-29,0.8254238812384947,240634000.0,342320000.0,-244635000.0,440302000.0,1304265000.0,-127753000.0,670684000.0,244635000.0,0.9836450221758947,0.17679462654659675,5.420119351380104,-0.09386056802117479,True,False,9.133887929254959,0.850646244529763,7.710596217802121,False,False,0.8928571428571429,HIGH,2025Q2,large
COGT,2025-06-11 12:15:24+00:00,POSITIVE,7.130000114440918,-0.017906351286842925,9481684.351921082,0.8190743420550171,-0.034642386181379714,0.28952044072965055,0001622229,,,,2264549775.2601013,2025-10-30,,312012000.0,269780000.0,-264444000.0,-328937000.0,301236000.0,636371000.0,333363000.0,264444000.0,1.1798792939147797,0.13778102976966491,0.9654628668128149,0.2810143574463528,False,True,9.354981871004059,0.8530895368225611,6.976885493431719,True,False,0.896551724137931,HIGH,2025Q2,large
