accession,ticker,items,et,chars,event_category,is_binding,transaction_value_usd,value_confidence,has_toxic_financing,toxic_signals,revenue,market_cap,shock,key,up20,dn20,fwd_up,fwd_dn,neg,lng
0000825313-26-000045,AB,"2.02,9.01",2026-07-28 10:23:31+00:00,3367,ADMINISTRATIVE,False,,NONE,False,,,3566025381.729786,,AB|2026-07-28 10:23:00+00:00,False,False,0.014380850239655407,-0.022370177620638643,False,False
0000950103-26-010155,AA,"1.01,8.01,9.01",2026-07-02 20:17:43+00:00,21861,DILUTION_OFFERING,False,1000000000.0,HIGH,False,,12831000000.0,6002680424.637268,0.0779362481490141,AA|2026-07-02 20:17:00+00:00,False,False,0.023465666959948006,-0.054552771508358466,True,False
0000351569-26-000139,ABCB,"2.02,7.01,9.01",2026-07-23 20:16:33+00:00,4509,ADMINISTRATIVE,False,,NONE,False,,,4912190242.139404,,ABCB|2026-07-23 20:16:00+00:00,False,False,0.017922765879882396,-0.013556988657674518,False,False
0000825313-26-000042,AB,"7.01,9.01",2026-07-13 20:22:04+00:00,7634,ADMINISTRATIVE,False,,NONE,False,,,3566025381.729786,,AB|2026-07-13 20:22:00+00:00,False,False,0.029868679589561964,-0.01433173415127742,False,False
0001193125-26-306118,AA,"2.02,9.01",2026-07-16 20:12:48+00:00,70199,COMMERCIAL_CONTRACT,False,4099999999.9999995,HIGH,False,,12831000000.0,6002680424.637268,0.3195386174109578,AA|2026-07-16 20:12:00+00:00,False,False,0.002774836122717117,-0.08772672208142263,False,False
0000006201-26-000051,AAL,"2.02,7.01,9.01",2026-07-23 11:00:28+00:00,4625,ADMINISTRATIVE,False,,NONE,False,,54633000000.0,7845364908.224248,,AAL|2026-07-23 11:00:00+00:00,False,False,0.06774876732379331,-0.06104444364578987,False,False
0001104659-26-080833,ABR,"1.01,2.03,3.02,9.01",2026-07-06 21:24:57+00:00,11513,DEBT_SETTLEMENT,True,6.1,HIGH,True,ratchet,,2242234457.897133,,ABR|2026-07-06 21:24:00+00:00,False,False,0.01888663742128749,-0.033797230457853766,True,False
0000006201-26-000046,AAL,"5.02,7.01,9.01",2026-07-15 20:30:37+00:00,4625,ADMINISTRATIVE,False,,NONE,False,,54633000000.0,7845364908.224248,,AAL|2026-07-15 20:30:00+00:00,False,False,0.04178811056393683,-0.032070024345726034,False,False
0001493152-26-032862,ABAT,"5.02,9.01",2026-07-10 20:45:34+00:00,8876,ADMINISTRATIVE,False,,NONE,False,,4290224.0,482811789.93252563,,ABAT|2026-07-10 20:45:00+00:00,False,False,0.05038764274619778,-0.10852712390299724,False,False
0001628280-26-048377,ABT,"2.02,9.01",2026-07-16 11:36:19+00:00,4768,ADMINISTRATIVE,False,,NONE,False,,44328000000.0,216611277907.1284,,ABT|2026-07-16 11:36:00+00:00,False,False,0.07524397208581601,-0.0030433509575094053,False,False
0001171843-26-004708,ABUS,"1.02,5.02,8.01,9.01",2026-07-16 11:31:17+00:00,14636,MA_ACTIVITY,True,,NONE,False,,14083000.0,906734831.0063624,,ABUS|2026-07-16 11:31:00+00:00,False,False,0.009384791569956752,-0.11366007666785605,False,True
0001500217-26-000043,AAT,"2.02,7.01,9.01",2026-07-28 20:17:44+00:00,5000,ADMINISTRATIVE,False,,NONE,False,,39914000.0,1168013575.5278435,,AAT|2026-07-28 20:17:00+00:00,False,False,0.022835877032457486,-0.003826537025350407,False,False
0001739445-26-000120,ACA,1.04,2026-07-15 20:25:30+00:00,3390,ADMINISTRATIVE,False,,NONE,False,,2883400000.0,4453277614.473175,,ACA|2026-07-15 20:25:00+00:00,False,False,0.0020674554124742173,-0.004962103310936272,False,False
0001703057-26-000037,ABCL,"5.02,9.01",2026-07-06 18:53:55+00:00,4416,ADMINISTRATIVE,False,,NONE,False,,75128000.0,1658522724.1478548,,ABCL|2026-07-06 18:53:00+00:00,False,False,0.0820512017946684,-0.12564102501402086,False,False
0001437749-26-024693,ACHC,"2.02,7.01,9.01",2026-07-28 20:57:17+00:00,9441,FDA_APPROVAL,False,,NONE,False,,3312769000.0,1967905826.2015991,,ACHC|2026-07-28 20:57:00+00:00,False,False,-0.005000027743252811,-0.19272729122277465,False,True
0001193125-26-296396,ABTC,"3.03,5.03,8.01,9.01",2026-07-06 21:15:15+00:00,15609,ADMINISTRATIVE,False,,NONE,True,reverse_split,185164000.0,6123237671.007111,,ABTC|2026-07-06 21:15:00+00:00,False,True,-0.009512476237520051,-0.34007130898549465,True,False
0000095953-26-000105,ACNT,"1.01,9.01",2026-07-21 17:40:36+00:00,4193,DEBT_SETTLEMENT,True,,NONE,False,,74942000.0,113914902.89055634,,ACNT|2026-07-21 17:40:00+00:00,False,False,0.024358186270869053,-0.022383094687682292,False,False
0001646972-26-000041,ACI,"2.02,9.01",2026-07-23 11:31:10+00:00,3486,ADMINISTRATIVE,False,,NONE,False,,83172500000.0,9431610332.008839,,ACI|2026-07-23 11:31:00+00:00,False,False,-0.003199996948242134,-0.13120002746582027,False,False
