ticker,band,items,impact,paperwork_public_et,entry_t,entry_px,lag_min,exit_t,exit_px,exit_reason,held_min,size_usd,ret,pnl,balance_after,final_verdict,final_impact
AVNS,small,"7.01,9.01",low,2026-07-02 10:10:31-04:00,2026-07-02 14:12:00+00:00,24.924999237060547,1.4833333333333334,2026-07-02 16:31:00+00:00,24.924999237060547,time,139.0,40.0,0.0,0.0,4800.0,positive,low
ESI,mid,"7.01,9.01",high,2026-07-06 09:13:10-04:00,2026-07-06 13:30:00+00:00,44.310001373291016,16.833333333333332,2026-07-06 15:30:00+00:00,42.59000015258789,time,120.0,40.0,-0.03881744904977369,-1.552697961990944,4798.447302038009,positive,high
SSB,mid,"7.01,9.01",low,2026-07-06 09:39:50-04:00,2026-07-06 13:42:00+00:00,100.73999786376953,2.1666666666666665,2026-07-06 16:13:00+00:00,100.5,time,151.0,40.0,-0.00238234930374015,-0.09529397214960511,4798.35200806586,neutral,low
FRME,mid,5.02,low,2026-07-02 16:10:19-04:00,2026-07-06 13:30:00+00:00,43.619998931884766,5359.683333333333,2026-07-06 17:20:00+00:00,43.439998626708984,time,230.0,40.0,-0.004126554552577155,-0.16506218210309243,4798.186945883757,neutral,low
BMRC,small,"8.01,9.01",low,2026-07-02 15:07:01-04:00,2026-07-02 19:10:00+00:00,28.209999084472656,2.9833333333333334,2026-07-06 17:44:00+00:00,28.40999984741211,time,5674.0,40.0,0.0070897117841288715,0.28358847136515664,4798.470534355122,neutral,low
ARQ,micro,"5.02,9.01",low,2026-07-02 16:33:09-04:00,2026-07-06 13:30:00+00:00,2.3499999046325684,5336.85,2026-07-06 19:16:00+00:00,2.255000114440918,time,346.0,40.0,-0.040425444275285605,-1.617017771011426,4796.853516584111,neutral,low
RWT,small,"2.02,7.01,9.01",low,2026-07-07 09:31:50-04:00,2026-07-07 13:33:00+00:00,4.635000228881836,1.1666666666666667,2026-07-07 14:21:00+00:00,4.913100242614746,target,48.0,39.97377930486758,0.06000000000000005,2.3984267582920538,4799.251943342403,neutral,low
XRN,mid,"1.01,2.01,9.01",low,2026-07-02 17:26:58-04:00,2026-07-06 13:30:00+00:00,38.099998474121094,5283.033333333334,2026-07-07 14:42:00+00:00,37.7322998046875,time,1512.0,40.0,-0.009650884098679091,-0.3860353639471654,4798.865907978456,positive,low
LAZ,mid,"5.02,7.01,9.01",low,2026-07-07 08:31:08-04:00,2026-07-07 13:30:00+00:00,43.724998474121094,58.86666666666667,2026-07-07 16:00:00+00:00,42.459999084472656,time,150.0,39.973779304867584,-0.028930804660796894,-1.156473600622924,4797.709434377833,neutral,low
VERA,small,8.01,medium,2026-07-07 12:45:57-04:00,2026-07-07 16:47:00+00:00,42.470001220703125,1.05,2026-07-07 18:47:00+00:00,42.994998931884766,time,120.0,39.9809119531486,0.012361612811202738,0.49422855340360883,4798.203662931236,positive,medium
HBCP,small,"7.01,9.01",low,2026-07-02 17:31:53-04:00,2026-07-06 13:32:00+00:00,69.12000274658203,5280.116666666667,2026-07-07 19:00:00+00:00,68.8499984741211,time,1768.0,40.0,-0.003906311657001282,-0.1562524662800513,4798.047410464956,neutral,low
HTB,small,8.01,low,2026-07-07 08:56:15-04:00,2026-07-07 13:30:00+00:00,50.540000915527344,33.75,2026-07-07 19:56:00+00:00,49.150001525878906,time,386.0,39.97377930486758,-0.027502955371363824,-1.0993970682465175,4796.948013396709,neutral,low
AZZ,mid,"5.07,9.01",low,2026-07-07 12:52:15-04:00,2026-07-07 16:54:00+00:00,143.58999633789062,1.75,2026-07-07 23:33:00+00:00,144.0,time,399.0,39.9809119531486,0.0028553776207680404,0.11416060124891914,4797.062173997958,neutral,low
UPLD,small,5.02,low,2026-07-07 12:01:36-04:00,2026-07-07 16:06:00+00:00,5.239999771118164,4.4,2026-07-08 15:33:00+00:00,4.620100021362305,stop,1407.0,39.98091195314859,-0.1183014841284199,-4.729801220865163,4792.332372777093,neutral,low
OSBC,small,5.02,low,2026-07-08 11:00:06-04:00,2026-07-08 15:02:00+00:00,22.6299991607666,1.9,2026-07-08 18:38:00+00:00,22.760000228881836,time,216.0,39.97551811664964,0.005744634243761482,0.22964473028501686,4792.562017507378,neutral,low
FMAO,small,5.02,low,2026-07-07 15:19:30-04:00,2026-07-07 19:28:00+00:00,30.3799991607666,8.5,2026-07-09 15:00:00+00:00,29.809999465942383,time,2612.0,39.9837284205413,-0.01876233412015127,-0.7501880719955807,4791.811829435383,neutral,low
MAIN,mid,"2.02,9.01",low,2026-07-09 09:38:49-04:00,2026-07-09 13:40:00+00:00,51.130001068115234,1.1833333333333333,2026-07-09 16:00:00+00:00,51.79999923706055,time,140.0,39.93801681256148,0.013103816838430093,0.5233404572019467,4792.335169892584,neutral,low
SSII,small,"8.01,9.01",low,2026-07-07 08:30:38-04:00,2026-07-07 13:30:00+00:00,3.690000057220459,59.36666666666667,2026-07-09 16:29:00+00:00,3.6600000858306885,time,3059.0,39.973779304867584,-0.008130073421291018,-0.32498976067505936,4792.01018013191,neutral,low
MSIF,small,"2.02,9.01",low,2026-07-09 09:39:31-04:00,2026-07-09 13:43:00+00:00,11.489999771118164,3.4833333333333334,2026-07-09 18:25:00+00:00,11.329999923706055,time,282.0,39.93801681256148,-0.01392513930368322,-0.5561424476277637,4791.4540376842815,neutral,low
KLRS,micro,5.02,low,2026-07-06 16:11:47-04:00,2026-07-07 13:30:00+00:00,4.804999828338623,1038.2166666666667,2026-07-10 19:22:00+00:00,4.425000190734863,time,4672.0,39.97377930486759,-0.07908421460550774,-3.161294941139353,4788.292742743142,neutral,low
MNSB,micro,7.01,low,2026-07-06 09:51:29-04:00,2026-07-06 14:16:00+00:00,24.860000610351562,24.516666666666666,2026-07-10 20:10:00+00:00,24.16,time,6114.0,40.0,-0.028157706885175493,-1.1263082754070197,4787.166434467736,neutral,low
CCNE,small,5.02,low,2026-07-10 08:30:15-04:00,2026-07-10 13:30:00+00:00,33.31999969482422,59.75,2026-07-13 16:41:00+00:00,33.61140060424805,time,4511.0,39.928783647369,0.008745525573011781,0.3491981984873149,4787.515632666223,neutral,low
NGS,small,4.01,low,2026-07-10 14:01:50-04:00,2026-07-10 18:10:00+00:00,40.099998474121094,8.166666666666666,2026-07-13 18:13:00+00:00,40.95000076293945,time,4323.0,39.92878364736901,0.021197065365648804,0.8463730369441294,4788.362005703167,neutral,low
FSBC,small,"7.01,9.01",low,2026-07-10 12:09:26-04:00,2026-07-10 16:16:00+00:00,48.36000061035156,6.566666666666666,2026-07-13 19:45:00+00:00,48.029998779296875,time,4529.0,39.92878364736901,-0.006823859116826592,-0.27246839431589365,4788.089537308851,neutral,low
TCBX,small,"8.01,9.01",low,2026-07-13 08:05:42-04:00,2026-07-13 13:30:00+00:00,39.97999954223633,84.3,2026-07-14 17:48:00+00:00,40.54499816894531,time,1698.0,39.893053620564466,0.014132031845375481,0.5637699041750963,4788.653307213026,positive,low
LKFN,small,"7.01,9.01",low,2026-07-14 14:16:22-04:00,2026-07-14 18:26:00+00:00,60.6349983215332,9.633333333333333,2026-07-15 17:51:00+00:00,61.810001373291016,time,1405.0,39.905444226775224,0.01937829775350286,0.7732995802122531,4789.4266067932385,neutral,low
