2026-07-29	General Dynamics Electric Boat Corp.	6441442332
2026-07-29	Huntington Ingalls Inc.	3744758492
2026-07-29	DZSP 21 LLC	138004329
2026-07-29	Applied Environmental Inc	50000000
2026-07-29	Kandor Manufacturing Inc.	33785445
2026-07-29	Nobel Biocare USA LLC	48000000
2026-07-29	Impulse Space Inc.	27770000
2026-07-29	Protagonist Technology LLC	13761917
2026-07-01	AeroVironment Inc.	500000000
2026-07-01	Lockheed Martin Missile and Fire Control	347500000
2026-07-01	Lockheed Martin	35820000
2026-07-01	Amentum Services Inc.	19172890
2026-07-01	Fordice Construction Co.	13480000
2026-07-01	Derecktor Florida Inc.	9100000
2026-07-01	Stratascor LLC	99000000
2026-07-01	Lockheed Martin Rotary and Mission Systems	33464645
2026-07-01	Alabama Shipyard	31379212
2026-07-01	OSI Federal Technologies Inc.	14064650
2026-07-01	US Foods Inc.	43585769
2026-07-01	Cleveland-Cliffs Steel Corp.	400000000
2026-07-01	Booz Allen Hamilton Inc.	13670047
2026-07-01	Marvin Engineering Co.	10247140
2026-07-02	The RAND National Defense Research Institute	452461776
2026-07-02	SMIT Singapore Pte Ltd.	180000000
2026-07-02	Bamforth Engineers + Surveyors Inc.	90000000
2026-07-02	BAE Systems - Jacksonville Ship Repair LLC	49339702
2026-07-02	Thoma-Sea Marine Constructors LLC	26625622
2026-07-02	Delphinus Engineering, Inc.	24494585
2026-07-02	Global Coatings LLC	24494585
2026-07-02	Motive Power Marine LLC	24494585
2026-07-02	Platypus Marine Inc.	24494585
2026-07-02	Snow & Company Inc.	24494585
2026-07-02	Lockheed Martin Corp.	14508319
2026-07-02	Emerald Energy & Exploration Land Co.	99000000
2026-07-02	Jones Lang LaSalle Americas Inc.	99000000
2026-07-02	K. Johnson & Co. LLC	99000000
2026-07-02	Millburn Harbor Inc.	99000000
2026-07-02	Tejada Investments LLC	99000000
2026-07-02	Universal Field Services Inc.	99000000
2026-07-02	Conrad Shipyard LLC	24153000
2026-07-02	Guarantee Interiors Inc.	18999877
2026-07-02	General Dynamics Land Systems Inc.	16070549
2026-07-02	Huntsville Rehabilitation Foundation Phoenix	11738265
2026-07-02	Technical and Project Engineering LLC	9051490
2026-07-02	ASRC Federal Facilities Logistics LLC	90000000
2026-07-02	Vertex Aerospace LLC	22573762
2026-07-06	L3Harris Technologies Integrated Systems L.P.	499573000
2026-07-06	Lockheed Martin Rotary and Mission Systems	60602848
2026-07-06	Thoma-Sea Marine Constructors LLC	26625622
2026-07-06	Information Systems and Networks Corp.	20983333
2026-07-06	Global Air Logistics and Training Aerospace Inc.	13228748
2026-07-06	Applied Physical Electronics LC	9620094
2026-07-06	Lockheed Martin Aeronautics Co.	142910785
2026-07-06	Canyon Consulting LLC	49684402
2026-07-10	Hydrogeologic Inc.	249000000
2026-07-10	EA Engineering, Science and Technology Inc. PBC	249000000
2026-07-10	North Wind Site Services LLC	249000000
2026-07-10	TUI America JV LLC	249000000
2026-07-10	Dawson Solutions LLC	249000000
2026-07-10	AEC-Weston JV LLC	249000000
2026-07-10	Cape Environmental Management Inc.	249000000
2026-07-10	Bay West LLC	249000000
2026-07-10	Bhate TLI JV LLC	249000000
2026-07-10	Kemron/Arrowhead JV LLC	249000000
2026-07-10	Noreas-PIKA-ICS JV	249000000
2026-07-10	Janus Research Group LLC	240000000
2026-07-10	Akima Facilities Operations LLC	36685831
2026-07-10	SAT-Lite Technologies LLC	9900000
2026-07-10	Pivotal Space Inc.	100000000
2026-07-10	Booz Allen Hamilton Inc.	25342035
2026-07-10	Raytheon Co.	53441223
2026-07-10	Continuity Global Solutions LLC	9999999
2026-07-10	ENSCO Inc.	9900000
2026-07-10	Pomp's Tire Service	70184484
2026-07-10	Industries of the Blind Inc.	17320697
2026-07-10	Bluestone Environmental Group Inc.	45000000
2026-07-10	L3 Technologies Inc.	42677977
2026-07-10	Northrop Grumman Systems Corp.	39400521
2026-07-15	Lockheed Martin Corp.	10530000010
2026-07-15	Lockheed Martin Corp.	1603067858
2026-07-15	Walsh Federal LLC	487972063
2026-07-15	NorthStar Maritime Dismantlement Services LLC	418497668
2026-07-15	Leidos Inc.	64812131
2026-07-15	Mikel Inc.	13929243
2026-07-15	Alaska Marine Lines Inc.	800000000
2026-07-15	Lockheed Martin Corp.	439387261
2026-07-15	GM Hill Engineering Inc.	193000000
2026-07-15	Valiant Government Services LLC	22664512
2026-07-15	Marinex Construction Inc.	19138783
2026-07-15	Kongsberg Defence & Aerospace	98412400
2026-07-15	Omni Federal LLC	67061939
2026-07-15	The John Hopkins University Applied Physics Laboratory LLC	62500000
2026-07-15	General Atomics Integrated Intelligence Inc.	9996111
2026-07-15	Goodwill Industries of South Florida Inc.	35589015
2026-07-20	Raytheon Missiles and Defense	1809613484
2026-07-20	BAE Systems Land & Armaments LP	22897940
2026-07-20	National Institute of Building Sciences	19697634
2026-07-20	Waterman Transport Inc.	16016000
2026-07-20	Integer Technologies LLC	9769318
2026-07-20	Odyssey Systems Consulting Group Ltd.	934103681
2026-07-20	Aventis LLC	523863958
2026-07-20	Aventis LLC	323405239
2026-07-20	Gauss Management Research and Engineering Inc.	115855859
2026-07-20	Johns Hopkins University Applied Physics Laboratory	199268833
2026-07-20	CNI Service Advantage JV LLC	99000000
2026-07-20	Tandem Defense	90000000
2026-07-20	GMHill-Baker JV LLC	249500000
2026-07-20	Kenall Inc.	249500000
2026-07-20	OEI-AECOM JV2 LLC	249500000
2026-07-20	Raymond Pond Federal Solutions JV LLC	249500000
2026-07-20	S&B Christ Consulting LLC	249500000
