ticker,cik,entity,revenue,concept,period,market_cap,as_of,rev_per_cap
A,0001090872,"Agilent Technologies, Inc.",6948000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,40937459928.450714,2025-11-19,0.16972230353674872
AA,0001675149,ALCOA CORP,12831000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,6002680424.637268,2024-07-28,2.1375450785846817
AAAU,0001708646,,,,,1916194966.4414825,2025-10-30,
AACG,0001420529,ATA Creativity Global,38339631.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,63995782.0,2025-03-31,0.5990962185601545
AAL,0000006201,American Airlines Group Inc.,54633000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,7845364908.224248,2025-10-16,6.963729621133181
AAME,0000008177,ATLANTIC AMERICAN CORP,188227000.0,Revenues,CY2024,58540042.0257225,2025-10-29,3.2153547125451847
AAMI,0001748824,Acadian Asset Management Inc.,563700000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1655226662.575714,2025-11-03,0.340557588120784
AAOI,0001158114,"Applied Optoelectronics, Inc.",455715000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,2060171128.926651,2025-11-03,0.22120249798735286
AAON,0000824142,"AAON, INC.",1442076000.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,7619856904.316437,2025-11-05,0.18925237286058536
AAP,0001158449,"ADVANCE AUTO PARTS, INC.",8601000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,3391790962.7607346,2025-08-18,2.535828444156019
AAPG,0002023311,,,,,8497704443.546843,2025-05-30,
AAPI,0001134982,"APPLE iSPORTS GROUP, INC.",0.0,Revenues,CY2025,1098927385.0,2025-08-18,0.0
AAPL,0000320193,Apple Inc.,416161000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,3672254460210.7236,2025-10-16,0.11332575247961428
AAQL,0001672571,Antiaging Quantum Living Inc.,1034385.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,17166139.00631666,2025-11-12,0.06025728905139211
AARD,0001774857,"AARDVARK THERAPEUTICS, INC.",0.0,RevenueFromContractWithCustomerIncludingAssessedTax,CY2025,226949501.60767078,2025-10-30,0.0
AASP,0000930245,,,,,51860798.66635132,2025-11-11,
AAT,0001500217,"AMERICAN ASSETS TRUST, INC.",39914000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,1168013575.5278435,2025-10-30,0.034172548021937366
AATC,0000943034,,,,,23415370.897424698,2023-02-14,
AAUAF,0001015647,,,,,10977712.394629002,2025-03-31,
AAUC,0001993344,,,,,,,
AB,0000825313,,,,,3566025381.729786,2025-12-29,
ABAT,0001576873,AMERICAN     BATTERY TECHNOLOGY COMPANY,4290224.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,482811789.93252563,2025-12-14,0.008885913909847916
ABBV,0001551152,AbbVie Inc.,61160000000.0,RevenueFromContractWithCustomerExcludingAssessedTax,CY2025,402828276275.14685,2025-10-27,0.15182648190820006
