ticker,items,public_et,fill_et,lag_min,entry,exit_et,exit_px,why,pre_vol,ret,size,pnl,balance
BDN,"2.01,9.01",2026-07-10 15:17:59-04:00,2026-07-10 15:19:00-04:00,1.0166666666666666,3.055000066757202,2026-07-13 15:43:00-04:00,3.184999942779541,time,0.04722116857557183,0.042553149977613725,26.666666666666668,1.1347506660696993,81.13475066606969
TREX,7.01,2026-07-14 10:00:14-04:00,2026-07-14 10:02:00-04:00,1.7666666666666666,46.0,2026-07-14 15:20:00-04:00,43.60499954223633,stop,0.09116744042434158,-0.05206522734268848,27.044916888689897,-1.4080997462737548,79.72665091979594
SRXH,"7.01,9.01",2026-07-15 15:45:14-04:00,2026-07-15 15:47:00-04:00,1.7666666666666666,2.25,2026-07-15 15:58:00-04:00,2.119999885559082,stop,0.1609534894980031,-0.057777828640408035,26.575550306598643,-1.5354775916391996,78.19117332815675
WINA,"2.02,7.01,8.01,9.01",2026-07-15 11:29:55-04:00,2026-07-15 11:31:00-04:00,1.0833333333333333,367.3299865722656,2026-07-16 10:08:00-04:00,396.7163854980469,target,0.12812916324557175,0.08000000000000007,26.575550306598643,2.1260440245278933,80.31721735268465
DFNS,"3.03,5.03,9.01",2026-07-16 10:05:27-04:00,2026-07-16 10:07:00-04:00,1.55,8.1875,2026-07-16 10:23:00-04:00,7.337500095367432,stop,56.92370950003129,-0.10381678224519919,26.06372444271891,-2.7058520049686248,77.61136534771603
RTB,"8.01,9.01",2026-07-17 14:03:29-04:00,2026-07-17 14:06:00-04:00,2.5166666666666666,17.299999237060547,2026-07-17 15:38:00-04:00,16.200000762939453,stop,0.3759987852681406,-0.06358372963188608,25.870455115905333,-1.6449400235435687,75.96642532417246
BNAI,"5.02,9.01",2026-07-17 12:10:15-04:00,2026-07-17 12:12:00-04:00,1.75,11.75,2026-07-20 10:08:00-04:00,11.109999656677246,stop,0.16859470733307444,-0.05446811432534071,25.870455115905333,-1.4091149069017272,74.55731041727074
WAFD,"2.02,9.01",2026-07-17 13:03:27-04:00,2026-07-17 13:06:00-04:00,2.55,38.16999816894531,2026-07-20 14:05:00-04:00,37.150001525878906,time,0.03004491178827168,-0.026722470316916658,25.870455115905333,-0.691322468919905,73.86598794835083
STLD,"2.02,9.01",2026-07-21 09:42:18-04:00,2026-07-21 09:44:00-04:00,1.7,233.8000030517578,2026-07-22 10:11:00-04:00,239.44000244140625,time,0.08131265644864011,0.02412317928156682,24.621995982783602,0.5939608233627068,74.45994877171354
TEX,"8.01,9.01",2026-07-21 10:09:14-04:00,2026-07-21 10:11:00-04:00,1.7666666666666666,64.01499938964844,2026-07-22 10:29:00-04:00,66.55999755859375,time,0.07870649517564063,0.03975627889105082,24.621995982783602,0.9788789391458779,75.43882771085941
