month,trades,start,end,ret_pct
2020-09,5,80.0,66.89,-16.38
2020-10,9,66.89,63.06,-5.72
2020-11,8,63.06,76.27,20.95
2020-12,8,76.27,85.47,12.05
2021-01,7,85.47,75.07,-12.17
2021-02,7,75.07,75.73,0.88
2021-03,12,75.73,52.08,-31.23
2021-04,7,52.08,46.88,-9.99
2021-05,8,46.88,38.46,-17.96
2021-06,6,38.46,39.69,3.2
2021-07,5,39.69,38.83,-2.17
2021-08,7,38.83,37.15,-4.34
2021-09,6,37.15,34.59,-6.87
2021-10,5,34.59,34.38,-0.6
2021-11,4,34.38,33.29,-3.17
2021-12,4,33.29,32.87,-1.28
2022-01,4,32.87,30.03,-8.62
2022-02,9,30.03,26.51,-11.73
2022-03,5,26.51,25.86,-2.46
2022-04,5,25.86,23.1,-10.67
2022-05,6,23.1,20.92,-9.42
2022-06,6,20.92,17.99,-14.02
2022-07,7,17.99,20.65,14.79
2022-08,9,20.65,18.94,-8.27
2022-09,4,18.94,17.28,-8.78
2022-10,4,17.28,18.8,8.8
2022-11,8,18.8,20.2,7.46
2022-12,7,20.2,19.82,-1.9
2023-01,3,19.82,22.14,11.73
2023-02,4,22.14,22.85,3.19
2023-03,8,22.85,22.71,-0.61
2023-04,4,22.71,21.62,-4.78
2023-05,9,21.62,24.72,14.33
2023-06,8,24.72,27.23,10.15
2023-07,5,27.23,27.41,0.67
2023-08,11,27.41,25.06,-8.59
2023-09,7,25.06,24.46,-2.4
2023-10,11,24.46,20.93,-14.41
2023-11,6,20.93,24.91,19.01
2023-12,4,24.91,27.42,10.05
2024-01,8,27.42,26.19,-4.48
2024-02,5,26.19,27.57,5.29
2024-03,5,27.57,24.29,-11.92
2024-04,4,24.29,24.01,-1.16
2024-05,5,24.01,22.65,-5.65
2024-06,4,22.65,22.22,-1.92
2024-07,5,22.22,23.26,4.69
2024-08,5,23.26,21.89,-5.87
2024-09,5,21.89,24.17,10.43
2024-10,5,24.17,23.33,-3.49
2024-11,8,23.33,21.91,-6.08
2024-12,6,21.91,22.64,3.34
2025-01,6,22.64,22.23,-1.85
2025-02,8,22.23,20.86,-6.15
2025-03,7,20.86,20.66,-0.95
2025-04,13,20.66,24.51,18.64
2025-05,8,24.51,25.83,5.39
2025-06,6,25.83,28.3,9.55
2025-07,9,28.3,31.91,12.77
2025-08,7,31.91,35.31,10.65
2025-09,7,35.31,33.58,-4.9
2025-10,7,33.58,33.64,0.17
2025-11,10,33.64,26.88,-20.1
2025-12,5,26.88,28.67,6.66
