ticker,accession,band,verdict,impact,items,entry,cap,binary,ceiling,pre_vol,prior_dollars,6% target / 10% stop,no target / 10% stop,trail 15%,trail 20%,r_vol,r_illiq,r_cheap,r_binary,score
ESI,0001104659-26-080612,mid,positive,high,"7.01,9.01",44.310001373291016,6132230932.587219,True,-0.004175160630948027,0.030349058416280435,166955467.049317,-0.10155720741440755,-0.10155720741440755,-0.15007901872662466,-0.15075606333240954,0.25,0.2,0.325,1.0,0.44375
ARCB,0001104659-26-086560,small,neutral,low,"8.01,9.01",153.32000732421875,1667243783.9513855,False,0.022828070915746235,0.05817649552268217,431443555.7785565,-0.10960740367715704,-0.10960740367715704,-0.07813729724780505,-0.07813729724780505,0.475,0.0875,0.05,0.0,0.153125
AROW,0000717538-26-000110,small,neutral,low,"2.02,7.01,8.01,9.01",40.23500061035156,435441056.2354088,True,0.021995732772662535,0.07655211335376674,40625032.48788345,0.0008698855941635664,0.0008698855941635664,0.0008698855941635664,0.0008698855941635664,0.6,0.5125,0.4,1.0,0.6281249999999999
ARQ,0001515156-26-000085,micro,neutral,low,"5.02,9.01",2.3499999046325684,271089376.278646,False,0.027659599939695356,0.0610424881151483,551135.3865389824,-0.10638298304062632,-0.10638298304062632,-0.16391485960594576,-0.17872339324640285,0.4875,0.95,0.9625,0.0,0.6
AUB,0001104659-26-086873,mid,neutral,low,"8.01,9.01",42.529998779296875,4811172504.9599495,True,0.01481309866441638,0.017926339667052385,289767414.86662555,0.008934894874725874,0.008934894874725874,0.008934894874725874,0.008934894874725874,0.0625,0.1375,0.3625,1.0,0.390625
AZZ,0000008947-26-000134,mid,neutral,low,"5.07,9.01",143.58999633789062,3272915640.634613,True,0.0724981121777657,0.045630209758056185,91339752.10345642,0.06000000000000005,0.009645586746627188,0.009645586746627188,0.009645586746627188,0.35,0.35,0.0875,1.0,0.446875
BMRC,0001403475-26-000033,small,neutral,low,"8.01,9.01",28.209999084472656,417806546.44947433,True,0.09429286923390445,0.06554294556218908,2084538.2409629822,0.06000000000000005,0.027649794823100038,0.027649794823100038,0.027649794823100038,0.525,0.9,0.6125,1.0,0.759375
BNAI,0001493152-26-033689,micro,neutral,low,"5.02,9.01",11.75,112426396.61119938,True,0.11319148286860048,0.14887952952716219,14733635.03559208,-0.10212764334171376,-0.10212764334171376,-0.12680849115899273,0.02340422285364019,0.8,0.6375,0.775,1.0,0.803125
BPOP,0001193125-26-313373,mid,neutral,low,"5.02,7.01,9.01",175.1199951171875,7628751245.098175,True,-0.0006852165402768673,0.029207798472639275,545912158.5230542,-0.012848332930196493,-0.012848332930196493,-0.012848332930196493,-0.012848332930196493,0.21875,0.05625,0.03125,1.0,0.3265625
BSET,0001437749-26-023743,micro,neutral,low,"8.01,9.01",22.059999465942383,145572501.58800125,False,-0.003626469884079664,0.1494720762075319,18491599.55650856,-0.10380775447044577,-0.10380775447044577,-0.11174071678440034,-0.11174071678440034,0.8125,0.6125,0.725,0.0,0.5375
