ticker,p_pre,p_first,gap,gap_min,up10_hit,up10_min,up10_gap_share,up10_in_gap,dn10_hit,dn10_min,up20_hit,up20_min,up20_gap_share,up20_in_gap,dn20_hit,dn20_min,up50_hit,up50_min,up50_gap_share,up50_in_gap,dn50_hit,dn50_min
AA,48.7400016784668,48.75,0.00020513584712533728,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AA,48.20000076293945,48.220001220703125,0.0004149472499397344,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AA,44.14500045776367,44.14500045776367,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AA,48.525001525878906,48.529998779296875,0.00010298306565337256,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AA,48.900001525878906,48.90999984741211,0.00020446464665058173,0.0,False,,,False,True,4541.0,False,,,False,False,,False,,,False,False,
AA,44.27510070800781,44.380001068115234,0.0023692856352657277,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AA,50.3650016784668,50.45000076293945,0.001687661702372223,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AAL,14.984999656677246,15.220000267028809,0.015682390105818067,326.0,False,,,False,True,4651.0,False,,,False,False,,False,,,False,False,
AAL,16.334999084472656,16.350000381469727,0.0009183530968992493,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AAL,15.37,14.779999732971191,-0.038386484517163866,900.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AAL,14.954999923706055,14.984999656677246,0.0020060002089092865,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AAL,15.324999809265137,15.329999923706055,0.0003262717457193087,0.0,False,,,False,True,2709.0,False,,,False,False,,False,,,False,False,
AAL,16.573299407958984,16.579999923706055,0.000404295824394163,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AAL,15.175000190734863,15.194999694824219,0.001317924470377596,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AAL,16.604999542236328,16.610000610351562,0.0003011784554713959,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AAL,13.555000305175781,13.9399995803833,0.028402749283636064,12.0,True,4332.0,0.28402749283636064,False,False,,False,,,False,False,,False,,,False,False,
AAOI,102.36000061035156,102.8333969116211,0.004624817296275507,0.0,True,7229.0,0.046248172962755074,False,True,1420.0,False,,,False,False,,False,,,False,False,
AAOI,99.96,97.5,-0.024609843937574927,71.0,True,5852.0,-0.24609843937574927,False,False,,True,6088.0,-0.12304921968787463,False,False,,False,,,False,False,
AAOI,88.18000030517578,88.11000061035156,-0.0007938273370601268,317.0,False,,,False,True,462.0,False,,,False,False,,False,,,False,False,
AAOI,102.3499984741211,105.37000274658203,0.02950663720063007,3790.0,True,5288.0,0.2950663720063007,False,False,,False,,,False,False,,False,,,False,False,
AAOI,77.73500061035156,77.76000213623047,0.00032162508114241817,0.0,True,1079.0,0.0032162508114241817,False,False,,False,,,False,False,,False,,,False,False,
AAOI,79.94999694824219,79.95999908447266,0.00012510489821471182,0.0,True,1112.0,0.0012510489821471182,False,False,,False,,,False,False,,False,,,False,False,
AAOI,114.52999877929688,114.73999786376953,0.0018335727469738217,0.0,True,1230.0,0.018335727469738217,False,False,,False,,,False,False,,False,,,False,False,
AAOI,110.19000244140625,110.36000061035156,0.0015427730754040692,0.0,True,1074.0,0.015427730754040692,False,True,4118.0,False,,,False,False,,False,,,False,False,
AAOI,102.3499984741211,105.37000274658203,0.02950663720063007,3692.0,True,5190.0,0.2950663720063007,False,False,,False,,,False,False,,False,,,False,False,
AAT,24.329999923706055,24.290000915527344,-0.0016440200700427177,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AB,38.13999938964844,38.130001068115234,-0.0002621479206399435,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
AB,38.25,38.2599983215332,0.00026139402701175207,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABAT,2.2950000762939453,2.2899999618530273,-0.0021786990303688247,0.0,True,2779.0,-0.021786990303688247,False,True,13215.0,False,,,False,False,,False,,,False,False,
ABAT,2.28,2.2799999713897705,-1.254834613995115e-08,294.0,False,,,False,True,7879.0,False,,,False,False,,False,,,False,False,
ABAT,2.234999895095825,2.234999895095825,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABAT,2.325000047683716,2.329900026321411,0.002107517650409063,0.0,False,,,False,True,1427.0,False,,,False,False,,False,,,False,False,
ABAT,2.1700000762939453,2.2200000286102295,0.023041451870212448,164.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABAT,2.549999952316284,2.549999952316284,0.0,0.0,False,,,False,True,17073.0,False,,,False,False,,False,,,False,False,
ABCB,93.17,92.125,-0.011216056670602104,294.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABCB,89.58999633789062,89.55000305175781,-0.00044640347993740725,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABCL,6.789999961853027,6.710000038146973,-0.011782021230560158,3895.0,False,,,False,True,8482.0,False,,,False,False,,False,,,False,False,
ABCL,5.420000076293945,5.449999809265137,0.005535006005332743,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABCL,5.28000020980835,5.284999847412109,0.0009469010236917708,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABCL,6.679999828338623,6.670000076293945,-0.001496968907432561,0.0,False,,,False,True,5686.0,False,,,False,False,,False,,,False,False,
ABG,225.92999267578125,226.81500244140625,0.003917185828864467,0.0,True,18598.0,0.03917185828864467,False,False,,False,,,False,False,,False,,,False,False,
ABG,212.75999450683594,212.69000244140625,-0.00032897192722680657,0.0,True,26980.0,-0.0032897192722680657,False,False,,True,28443.0,-0.0016448596361340329,False,False,,False,,,False,False,
ABR,5.059999942779541,5.059999942779541,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABT,99.67,100.62999725341797,0.009631757333379731,1029.0,True,11160.0,0.09631757333379731,False,False,,False,,,False,False,,False,,,False,False,
ABT,96.45999908447266,96.4800033569336,0.00020738412451581922,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABTC,5.949999809265137,5.960000038146973,0.0016807107903202834,0.0,True,1336.0,0.016807107903202834,False,True,5860.0,False,,,False,False,,False,,,False,False,
ABUS,4.639999866485596,4.715000152587891,0.01616385522853503,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ABVC,1.208899974822998,1.2100000381469727,0.0009099705078046139,0.0,False,,,False,True,14281.0,False,,,False,True,14299.0,False,,,False,False,
ABX,11.970000267028809,11.989999771118164,0.0016708023093736646,0.0,False,,,False,True,8359.0,False,,,False,False,,False,,,False,False,
ABX,10.3100004196167,10.3100004196167,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACA,145.25,145.2550048828125,3.445702452675725e-05,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACA,145.19500732421875,145.13999938964844,-0.0003788555514686598,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACEL,12.399999618530273,12.399999618530273,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACEL,12.25,12.25,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACEL,12.46500015258789,12.460000038146973,-0.00040113232087524153,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACEL,12.380000114440918,12.380000114440918,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACEL,12.39,12.520000457763672,0.010492369472451246,88.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACEL,12.449999809265137,12.460000038146973,0.000803231247794356,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACEL,11.779999732971191,11.789999961853027,0.0008489158835756072,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACEL,11.819999694824219,11.819999694824219,0.0,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACGL,103.56999969482422,103.62000274658203,0.00048279474659795873,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACGL,102.34510040283203,102.33499908447266,-9.869860227418314e-05,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACHC,31.170000076293945,31.420000076293945,0.008020532543730585,0.0,True,14442.0,0.08020532543730585,False,False,,False,,,False,False,,False,,,False,False,
ACHC,31.959999084472656,31.940000534057617,-0.0006257368894843074,0.0,True,17027.0,-0.006257368894843074,False,False,,False,,,False,False,,False,,,False,False,
ACHC,34.68000030517578,34.69499969482422,0.000432508348225058,0.0,False,,,False,True,6841.0,False,,,False,True,6861.0,False,,,False,False,
ACHC,31.469999313354492,31.479999542236328,0.00031777022879042605,0.0,True,14525.0,0.0031777022879042605,False,False,,False,,,False,False,,False,,,False,False,
ACHV,6.289999961853027,6.295000076293945,0.0007949307585439769,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACHV,6.0,6.0,0.0,0.0,True,12808.0,0.0,False,False,,False,,,False,False,,False,,,False,False,
ACHV,6.041299819946289,6.054999828338623,0.002267725291021261,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
ACHV,6.0,6.0,0.0,0.0,True,12806.0,0.0,False,False,,False,,,False,False,,False,,,False,False,
ACI,14.3149995803833,14.335000038146973,0.0013971678903210716,0.0,False,,,False,False,,False,,,False,False,,False,,,False,False,
