cell_id,fov_id,gene,cell_stage,crop_raw,crop_seg,scale_micron,plate_id,well_id
815587,146911,ATP2A2,M0,crop_raw/6792ab6bc45ecce57e378995b603ce0d6b5842cf1d357330405701d0b16c884a_raw.ome.tif,crop_seg/ff1527d748edf0670b9b676c0182a4a3771ef96f02da4d058090fd94d15adea3_segmentation.ome.tif,0.108333,3500003179,216085
862603,146024,ATP2A2,M0,crop_raw/b440d20fb7d429e8645227724b4887454d104b44d5ac7e748824930ed58da2c5_raw.ome.tif,crop_seg/9346713e1396496a1f39942fec1801a98ff72aaf9b64f8dcc17eda188679292a_segmentation.ome.tif,0.108333,3500003037,204897
842397,147026,ATP2A2,M0,crop_raw/1852ad6bb7f5a29ba5acf0399df9677c4398003cb47799556d7543e7a3d13076_raw.ome.tif,crop_seg/686083d413e1d1851db583f324ae0afde7ebba105d840f3b962e934c034a85e6_segmentation.ome.tif,0.108333,3500003131,210799
758349,142454,ATP2A2,M0,crop_raw/b1bca3948fc91cddfce025f8c1537ca166668def029efbf973f006a4892e9739_raw.ome.tif,crop_seg/550b20e185d3d15a429be4d6dc6d8d0c8f3e775e1632b8af2d77414e26169ad6_segmentation.ome.tif,0.108333,3500003065,205452
851635,145973,ATP2A2,M0,crop_raw/a8364c09a853ca4e60fbb72576a93f37e15e797b49bf0b10528719c94a1b6e82_raw.ome.tif,crop_seg/8d4f75d47bf72df132bec123ca12207fd652d1660698afb56f08c8a8640cb465_segmentation.ome.tif,0.108333,3500003037,204888
856625,147095,ATP2A2,M0,crop_raw/79081cfe30e0dc975c758197165ebe60aee2503202aa2aa10f838a7cb6981efb_raw.ome.tif,crop_seg/4fef86fb0d964b1c3cd1a702c96cca24bf3a85ce231a4a951b8e56edef6ccfe8_segmentation.ome.tif,0.108333,3500003131,210796
771779,141536,ATP2A2,M0,crop_raw/fbe30826c1b3a79c169284c520687fbb8ab6768c06cf26a8549b65c2f2cdac4d_raw.ome.tif,crop_seg/cb94ef6348b0659bae52407deff92107fb894cca0920e773b780556ba03d9669_segmentation.ome.tif,0.108333,3500003034,203836
899456,147426,ATP2A2,M0,crop_raw/be00198d935e5d1bc3ab2e3d5ad870766544b9c65459b5086c2493e489a36214_raw.ome.tif,crop_seg/d541f8af5f8c8acbf183e356b0a50588502e2ab094799eb47ddbd6cdc1058807_segmentation.ome.tif,0.108333,3500003175,215382
862150,147147,ATP2A2,M0,crop_raw/eeea91dbfbc27566900a8b75e161d110d39ccee669ea6abfb4e7b1b2a499acef_raw.ome.tif,crop_seg/42ce0da0c4088396b2ea0d798cc0a633b0e08af63427b068ce8fa151a8b9b8c4_segmentation.ome.tif,0.108333,3500003131,210811
872983,142082,ATP2A2,M0,crop_raw/deaf00caa3958448f64b62a677b8356bbd74732af5fbce28a66d1ed0c6a3ad96_raw.ome.tif,crop_seg/7c8957f464540f567c738ded1563cde13986145668d4a076b97d3a2e35aa26d4_segmentation.ome.tif,0.108333,3500003065,205451
754771,146576,ATP2A2,M0,crop_raw/24440e3c28637cf183c9bcee29b1010970551bd4fc9da74246f75f54e447a9e8_raw.ome.tif,crop_seg/4bf3712bb8e7f8e82a5a5e55993eb7c756c16de957ecbb0dcbe8426b8ae4cca3_segmentation.ome.tif,0.108333,3500003129,210603
748123,146542,ATP2A2,M0,crop_raw/4785c7854a8b1d5d20fc7c1feb5aa05cc9867803009afe0ee94a79c652dbae07_raw.ome.tif,crop_seg/ae8480281d30106a860ffe888dfa96d18cabc554b61680ba3c9a3f9c210710dc_segmentation.ome.tif,0.108333,3500003121,209388
907254,146348,ATP2A2,M0,crop_raw/95cc4290d8997222428b98b0ef5394fc1a073d02aeb92ec8db4a69996b949bfe_raw.ome.tif,crop_seg/f1d6a3e978e3bd52cd7a6f22e58ed02b5f58df022ebf1bc986588dc95e7a968e_segmentation.ome.tif,0.108333,3500003118,209666
850881,147065,ATP2A2,M0,crop_raw/40f3274369ee8412c892e5f2df8564793a6969124c85749b624b3a9c9d0986a5_raw.ome.tif,crop_seg/1744a1fb3b70bde0ec156810e367677f5195aff32f503514b24a3e2701b1637b_segmentation.ome.tif,0.108333,3500003179,216078
866474,147184,ATP2A2,M0,crop_raw/4431fafe792a3d1093f85a6eae17f88df559ba588b5226175109a2af91654584_raw.ome.tif,crop_seg/02af71f3a51ed87848c23913d85d92539d5f0958e10258af2935a84d24c78c0c_segmentation.ome.tif,0.108333,3500003131,210811
