cell_id,fov_id,gene,cell_stage,crop_raw,crop_seg,scale_micron,plate_id,well_id
987784,142456,ATP2A2,M4M5,crop_raw/448be6e75d88318cee3fb8046bbd58501263fd867466c6d60bf8a9232ba9ec47_raw.ome.tif,crop_seg/ed532438935c93ebdf95d1664300fac789c04cb19005198d683c3f18e141123f_segmentation.ome.tif,0.108333,3500003065,205441
913520,147495,ATP2A2,M4M5,crop_raw/481c6515b8aaf2cd2fe4b278a01785697fa151caf56515aefc50831daf9fbbb2_raw.ome.tif,crop_seg/8d850a4786bec36fb3adc84abae6855307cbafbb5886eaf5878da64fa2ac7f85_segmentation.ome.tif,0.108333,3500003175,215369
915019,146387,ATP2A2,M1M2,crop_raw/a8f04c2bd94b099b706ca609012968032ecd13125d8e1bac924b49d2d6d4d3de_raw.ome.tif,crop_seg/052441d22f303cbb8f2ec98ba5fa79c428fadfcb4a2824c2ea8e78bae0270509_segmentation.ome.tif,0.108333,3500003121,209375
863807,142041,ATP2A2,M4M5,crop_raw/2bfe6dfe82a6a202d49d1158179bcb1a03e39793242bd8be19f9d22c2884602f_raw.ome.tif,crop_seg/b1d6b14fc3b2b4afbba675285b8e2f512484bd1205d65635622a7deb4d50f438_segmentation.ome.tif,0.108333,3500003065,205453
854513,141999,ATP2A2,M4M5,crop_raw/7f016ed94dc2a958bad951347bb9c92cd575058e06df149609697edf39f315b6_raw.ome.tif,crop_seg/dc9cdcea24701a39740f75b6c4dd3b5b0b179e25fe08bddb91b59fa96d541bda_segmentation.ome.tif,0.108333,3500003065,205454
853381,147077,ATP2A2,M3,crop_raw/91a3a4cbcb2fb2b0f489a7517ecc589e567f635a7cf5cdf677baaed63d7bb048_raw.ome.tif,crop_seg/ce429698156859145d9b5684c5553b3b7aa406d78ce423b343a5950f0e5f471a_segmentation.ome.tif,0.108333,3500003179,216029
769194,146636,ATP2A2,M4M5,crop_raw/33e731feb4d996363f4fc2c0c42dca7a525aeec87128ed6db384adc2577d68ae_raw.ome.tif,crop_seg/32af24e15aa16b0b0670332fae6d9853a5bbb501640a75e45a48ab9f02d735f5_segmentation.ome.tif,0.108333,3500003121,209378
925311,146443,ATP2A2,M3,crop_raw/63ff9cc0881f0316115138af6aee7ea9f9b2fffd87ccfc4e541f1ad17bd49ef2_raw.ome.tif,crop_seg/41bad79e920851ab3e0961660f84af3370bc80ee80dbfbae24999d6609f84f76_segmentation.ome.tif,0.108333,3500003118,209675
893058,147396,ATP2A2,M4M5,crop_raw/feff393dcbe8734778a6780321fe2a40b61a80d160b4314ee6b3bcb19adfd439_raw.ome.tif,crop_seg/bc1938931e2e13aeeb4e3bc4a4e311b10fdd1c16dd3067f360d3daf6856a6c0c_segmentation.ome.tif,0.108333,3500003175,215319
904882,146337,ATP2A2,M4M5,crop_raw/95fc43087c074a4bb234e48649a80fa2a90fe5bc64cb75b12a094681aa2f5cfc_raw.ome.tif,crop_seg/0a00ade454a50e0898a293a5067b8826aaee864a1678b0934c16d9c8bc13e9e6_segmentation.ome.tif,0.108333,3500003118,209665
787945,146725,ATP2A2,M4M5,crop_raw/5a65fb44b272b67316580e9abd6fe2e229a0c3c8abe7087c0a41745bc8b1663d_raw.ome.tif,crop_seg/1730f3ba434399736a760d6a86f6f94c56b99d559cceac91199fd05ec090b79e_segmentation.ome.tif,0.108333,3500003129,210608
852275,145976,ATP2A2,M4M5,crop_raw/9cf1aa921294af61595c0c2823ad03773c8b177c1b5785ea6d0d7508dbe42a14_raw.ome.tif,crop_seg/26d082bb03ef0f3897ccfeac882ef8c9e0de80c81ebfccc8a3a54b9e0abe7cbe_segmentation.ome.tif,0.108333,3500003037,204885
