cell_id,fov_id,gene,cell_stage,crop_raw,crop_seg,scale_micron,plate_id,well_id
763652,15585,ACTB,M0,crop_raw/66dd9080811f87ff188e6b13757b9fa6e8c0eb68a5e8fd669f15ec29417f5467_raw.ome.tif,crop_seg/faadafdcc43fb4f117ad04ccc24f583b25e1452cff30d9cf9f42e5fca4b5c36d_segmentation.ome.tif,0.108333,3500001199,43734
794768,16402,ACTB,M0,crop_raw/578156a699da27cd152713c0bdff037b1e9b80a3c84685c3c5d45c07a85dbf0e_raw.ome.tif,crop_seg/b760bed13bf6381ba5142065fefb3981d5ac7e0bf896a27cf0fe953f33bf2b01_segmentation.ome.tif,0.108333,3500001309,53524
440690,5798,ACTB,M0,crop_raw/e1132973a1b340a91bb4713f36cae5cc898957aa071d97dfbe4a04aba991cda6_raw.ome.tif,crop_seg/d4b536425f7d220734acce31c1589c7c02c20d7061ff2aff1df17c1fa5e7fb22_segmentation.ome.tif,0.108333,3500001222,44226
427106,5653,ACTB,M0,crop_raw/282174aba35c9ea19d6e5406c6aeea8bdcf6520558350cae2281fda64a226d6d_raw.ome.tif,crop_seg/94928e704ee2835f24e20fb82b604b6e62675c66755ef465120b01d746330637_segmentation.ome.tif,0.108333,3500001238,45076
431426,5706,ACTB,M0,crop_raw/fe80c0612d23cdc0b63f0dfd9c3aad6c5add68595eeb5fe73a8ec052e9f7feef_raw.ome.tif,crop_seg/cbab41e9ee919b0ab4d4551a8d842c042b4bea1ab85392f37b74e1923a41b2d3_segmentation.ome.tif,0.108333,3500001245,45556
807673,16675,ACTB,M0,crop_raw/9f221cc92835ef0a313b27f7a81fb27065dcabecae8cfb01eb0f7fa01463a710_raw.ome.tif,crop_seg/920a9b8a31b5b3a2fbb7830470197a682c221ae1e113d64cd78e0322e2659d4b_segmentation.ome.tif,0.108333,3500001307,53729
426364,5644,ACTB,M0,crop_raw/06b02328137390fa69fcf4e8038b0981da9d5005a865ded36aa5551a58de9658_raw.ome.tif,crop_seg/0fe1b9120130103bd6c54bd82d68e21ea0915ccab5fda1af967fed855d3f7d12_segmentation.ome.tif,0.108333,3500001238,45077
473259,6260,ACTB,M0,crop_raw/fefd4d45abc772df301d010edfd0ff7bce4ef5eb71072de590d3672fee2ff55a_raw.ome.tif,crop_seg/ac9c0cdc84a79ef9c9dd9acea6d6a0c7032f2ac70da4230d102bbffed21d7d57_segmentation.ome.tif,0.108333,3500001310,53444
757286,15443,ACTB,M0,crop_raw/40c37b6c814311e0c0dd24cee9fa4bf08988438097c2b7e141035b2f4444bf27_raw.ome.tif,crop_seg/c0b08f95e7775619f6f80da121c7ef0f036036e2eff53ac84d32f36b19ae3b5e_segmentation.ome.tif,0.108333,3500001309,53538
415925,5466,ACTB,M0,crop_raw/c68f06056a4ae10f0b340829340baf2a1b8211b71805e887670a381a8736d172_raw.ome.tif,crop_seg/5e390b2ffd227910dc3a0026ba6ca30f88d5f4c1df2dff4d4fa170ad1d4f93fb_segmentation.ome.tif,0.108333,3500001221,44308
766319,15642,ACTB,M0,crop_raw/7cb36c86f259bb92374f46d67a8e3a26e572637daa7b603e4bff30158585d804_raw.ome.tif,crop_seg/6a279afbdd68cdb1736f7f6f241d820327eab2ce3e3888770fbcae796a00b73a_segmentation.ome.tif,0.108333,3500001309,53540
983510,6235,ACTB,M0,crop_raw/97e4927169bb0031c0dbd9ffe705d6b48663fb9d30585c461ecc139746783b16_raw.ome.tif,crop_seg/68acdfa2cf2e2f8ac123e84e891e9b85524e3153d82b418e2b3f9eea4f1b5e8c_segmentation.ome.tif,0.108333,3500001310,53442
439783,5789,ACTB,M0,crop_raw/7c0e9dd95ead7e0246eb5832fe9f6a2545d4e5f0f305365001d382abfc39efbb_raw.ome.tif,crop_seg/7eac1e6df2223ab9040ab072d0980ca5100945fdb567eee98e530db3322cecf1_segmentation.ome.tif,0.108333,3500001222,44213
471790,6228,ACTB,M0,crop_raw/96f819143df03d45318c790317b8bea808b155757146491df490d0d17ebc1d14_raw.ome.tif,crop_seg/2ebfed1ace9c0a70f50ecaf1a1c1a74d94e9f1d82ac7cf4dcd33d6cd526daa08_segmentation.ome.tif,0.108333,3500001310,53432
806407,16625,ACTB,M0,crop_raw/f6ec5fb5f31e174375e2f911fa71a02a52677e4a8c0b51f873a8cce05574d05d_raw.ome.tif,crop_seg/13bb82350546420b30276fb8d682a3eb2ce907da3f7d4bff4aab5931e8152fc8_segmentation.ome.tif,0.108333,3500001307,53717
437213,5764,ACTB,M0,crop_raw/2c14a96a9ed8f69a7c527d9a5b95900be3979eb0887bfc9c36a0bc8c55ebf4b8_raw.ome.tif,crop_seg/f12beec72b3674177a7dc359856d7d64ff61115d5a80248edc39cbe116fdfcab_segmentation.ome.tif,0.108333,3500001245,45559
438714,5779,ACTB,M0,crop_raw/77ba4d2ba1002927695aaf173e6a4de8ea366d1fc1cea20f241b589869ec46d8_raw.ome.tif,crop_seg/44501177632264dd46d6f71701acc4c0c8ed247b6bd4b426b0e97c21281385f8_segmentation.ome.tif,0.108333,3500001222,44213
436679,5759,ACTB,M0,crop_raw/e918fa5a5a591de2afe2ac8d5a489f3cb19699f33b94993a97e467d009e5eeb0_raw.ome.tif,crop_seg/be970040e59f09adec66c06f3e69d26ee6855fe8809fcd3e496e467304ee0f0b_segmentation.ome.tif,0.108333,3500001245,45556
824701,17167,ACTB,M0,crop_raw/119fa436b909938396097bb497f0e7e0ae264bf84e9d02fc7b66bcade7b43487_raw.ome.tif,crop_seg/294cdc08e833ce286638d9a79fa258797c10a72cf00be75b865beb28926b2c5d_segmentation.ome.tif,0.108333,3500001307,53730
412676,5242,ACTB,M0,crop_raw/e4cbfb54e955c52c34c827903cd5d424e62d35fbdd6738fa05f93f7f6c487520_raw.ome.tif,crop_seg/92796134bad87494ed768e06159ba7130f9a64a4b08cb6b06a61a642c1ab107e_segmentation.ome.tif,0.108333,3500001200,43637
425888,5639,ACTB,M0,crop_raw/46ecafa534742da9fdb4a43bb8e7327e56b83b140b00f0b10db769ebe8730f2b_raw.ome.tif,crop_seg/b43d3890313aabc1a0c8e960989e613fdc616cebe94d8cc547ee9d3b61054a2b_segmentation.ome.tif,0.108333,3500001238,45076
429935,5689,ACTB,M0,crop_raw/96183e956211a8ff664920d63085db589bdab7291f2681c5cfcfd464bc6f5bda_raw.ome.tif,crop_seg/55195a1adf3c39f34360e6eaa613ddce44715b024f7c485fbe0b2f35baacd66d_segmentation.ome.tif,0.108333,3500001245,45556
742040,14990,ACTB,M0,crop_raw/fd9f93ec69a0422223b683be3c0806e51e63341478a1743212e999110e2272af_raw.ome.tif,crop_seg/bb86c233d0472ed2334bc76b86bd4addda98a6f45f3f464dc837265970148c3e_segmentation.ome.tif,0.108333,3500001199,43734
762856,15572,ACTB,M0,crop_raw/e269e2d01e84b6641b74b5eb3cca1b055ec6ba95c0fc0357d622ef92e843dbec_raw.ome.tif,crop_seg/3081d187160244f61ea11983aa20d81128b73e176b032bb560d3ea93a4551939_segmentation.ome.tif,0.108333,3500001199,43733
772813,15826,ACTB,M0,crop_raw/4286b2eaab7fb9ff0e00f14bbdca06825019e5cadf8cbbffdd93209b993ad977_raw.ome.tif,crop_seg/19ac7256159ee9e793f24c7ed48004491263f905fe26a5e3979b74db89c552ad_segmentation.ome.tif,0.108333,3500001199,43745
414905,5446,ACTB,M0,crop_raw/e54be65028a1d379f01f9e92bfed27a4aba6f2de9653b90610bda71002f7720d_raw.ome.tif,crop_seg/a7dd2df7c04cb2b2fbb51aab7c9f6b95a89fc361f25833df13fc660b6dfcf7a5_segmentation.ome.tif,0.108333,3500001221,44311
470699,6210,ACTB,M0,crop_raw/134dd1cd9f4f843d178d71fbf82fd493d16e621e8ca1864136d1443d27a8f57f_raw.ome.tif,crop_seg/bb778437968f0ca600661bc5b7617a2b790ed0e7834f66e47adf68cfa31e7b30_segmentation.ome.tif,0.108333,3500001308,53632
430120,5691,ACTB,M0,crop_raw/1eb181b09c3f1ea2f1cd9cd0f7b02897a5a1741120a9f241f6a4e620d8c95a13_raw.ome.tif,crop_seg/b95aed2f593b3b3c1fc839e0226fb8ca302166e404c973c843844269617b05ac_segmentation.ome.tif,0.108333,3500001245,45568
815495,16957,ACTB,M0,crop_raw/ad1aebe9fe5c44208bf8d6cec3909f6f3016ab5037d6cb3bfc1bf489dbeec1e5_raw.ome.tif,crop_seg/bebb5b3fe8e27c11e63d501c05704c8b9f5cb52770ae75905ac3ed67db6180e8_segmentation.ome.tif,0.108333,3500001309,53538
426295,5643,ACTB,M0,crop_raw/f1b34a39aa9bd95861f95fa41e92b6ba981e69c50270227963633673e60ce08c_raw.ome.tif,crop_seg/a37635ca345da7479e37f444d488accf56ef301c53cd8565c215ecc0091b415b_segmentation.ome.tif,0.108333,3500001238,45078
431819,5710,ACTB,M0,crop_raw/bd8103ce6fcf2245755c6b5a0ca118139600341232200363d61e54cd3b8aaf65_raw.ome.tif,crop_seg/7a330883d49771a849ebb0437eb2aa63ab1993b2028708e9e990071ec46cdbe0_segmentation.ome.tif,0.108333,3500001245,45556
474684,6279,ACTB,M0,crop_raw/8556444a9ac4d0c81880a531e6bf96a8681ca557db133227e59879e11cbf155d_raw.ome.tif,crop_seg/8fa7ba9d0dd41c4fd165113ba3e7b1a854e19eb85bfa34d25abe97b88286a3c6_segmentation.ome.tif,0.108333,3500001310,53431
469672,6200,ACTB,M0,crop_raw/0aaa3c1d3f2b590b732300e0332edbe72b16dffc4b1ec0ef08c134a3b45650c9_raw.ome.tif,crop_seg/64e673106041328e1f41e5ee8fe49a561ad9a80bcc1c34ce971fe84950e480c1_segmentation.ome.tif,0.108333,3500001308,53621
470248,6206,ACTB,M0,crop_raw/4861ddc3a8d4f4f3b082d4c8f6473f638bbdc67fc4c94568a6f1b582610c0199_raw.ome.tif,crop_seg/3ea59e3af36f93dbcd636c8c5f30ec958973b1c36dcb5a71dbca445aa7c2baae_segmentation.ome.tif,0.108333,3500001308,53624
776872,15929,ACTB,M0,crop_raw/44b9845d5c6f5ac23110a74142d5bab987ebfa8497a9f6cf856f18c174f0d245_raw.ome.tif,crop_seg/cc0c0bf6298dc8b68ec19011d4ee8d1a6d2f78c78215e7124dd41d59c2ae78b7_segmentation.ome.tif,0.108333,3500001199,43733
415799,5464,ACTB,M0,crop_raw/67d6d65c379a1be569a66c6cade0cb7bca8a4e34b0262f68a7db0edc89e9ff9a_raw.ome.tif,crop_seg/bd573f8c4a6ce7c57fbafd9c2b061e85805cc3155539127fc9f2e17da1110ce8_segmentation.ome.tif,0.108333,3500001221,44311
433985,5731,ACTB,M0,crop_raw/76259703e63661b28a418d88b50b30dd474ff337a0db980b476e014563d4aab7_raw.ome.tif,crop_seg/02ee9404bd549ba02456ef265bfb6c969526d462b04e3d3444b01f2b16837333_segmentation.ome.tif,0.108333,3500001245,45568
413768,5273,ACTB,M0,crop_raw/680135a01d8ce44a276ca68c4941f62b8cb6becf3252caf6d9b19645f3598175_raw.ome.tif,crop_seg/16fa113d70b3363d815058a0d2c1dc7f0022a4f0f57593139f824065087b3604_segmentation.ome.tif,0.108333,3500001200,43639
412604,5241,ACTB,M0,crop_raw/df2df37e8a673f69539735e4e8a7d6a9509b8dd46c078ea99a3e9bce0912397c_raw.ome.tif,crop_seg/bb80ebe68319c735ac272636b6832f51a6283e7d0ade48c5a95a1c774237a323_segmentation.ome.tif,0.108333,3500001200,43639
