cell_id,fov_id,gene,cell_stage,crop_raw,crop_seg,scale_micron,plate_id,well_id
409891,16924,TOMM20,M0,crop_raw/c048184a7007666432500499cebaa4bea0576a2def04a72f5e6e51cf56a2d065_raw.ome.tif,crop_seg/6e65e142aa0c8974b9d5dc4681e4f36f5a01e434f368e692c6190fbb76281be8_segmentation.ome.tif,0.108333,3500001034,30308
348667,3869,TOMM20,M0,crop_raw/b8410faf1f04daa54821e721a7808e06fd926306f738266beebf5b48c5e39a41_raw.ome.tif,crop_seg/352c04873133651efdd9e9d786e1d2c551118cea654f8eae8139b52a31156788_segmentation.ome.tif,0.108333,3500001034,30308
825974,145785,NUP153,M0,crop_raw/544a1fa7647d5648334c3d9bc971604279eaed248bbf88bd1184b2c57712ec95_raw.ome.tif,crop_seg/8a4992079058232c6e7017b9c81a73471b7b816c6a3b6c1accd8e98cdfa5488e_segmentation.ome.tif,0.108333,3500002955,196087
813500,141779,NUP153,M0,crop_raw/53f9175852fe3e405265e8b67b8fceac26b021ce6a90542789caa629fa27303a_raw.ome.tif,crop_seg/6142bab77195ac249553d77b0666883f6260a7c02b3fe4368ac924263c5861b4_segmentation.ome.tif,0.108333,3500003034,203854
250780,686,TUBA1B,M0,crop_raw/5c9cb14fa01d467d09c5ca4101fd801cdf49d8429af95f86fe060cdbe6b462e8_raw.ome.tif,crop_seg/ae00e558b40d707bd1df0f2dcfcb182a6249c456563ea884c3c27003e117a032_segmentation.ome.tif,0.108333,3500000741,94312
901422,14097,TUBA1B,M0,crop_raw/7fc0ca79d4bb2ae67262bc172442241b9d320be147a3be712b028aa5f946a00e_raw.ome.tif,crop_seg/1005366a5eeb9467ef6048a9aaa03b331b8c233ef578c033172c8413546ece23_segmentation.ome.tif,0.108333,3500002083,135440
734560,13233,NPM1,M0,crop_raw/803b370fb337b2e67bffd8eb553aca2a0c65ff4854efc542cab89d263629d7ce_raw.ome.tif,crop_seg/bcc5c2d284c284d13928bfcbbeba9b54b8b76d02cadd0d5592fa51a09537dcb5_segmentation.ome.tif,0.108333,3500002031,130722
659573,12436,NPM1,M0,crop_raw/5a7b7d83b355be144ebbe3d3a895f82d3bdb81e8356401b76d7eb9e52dc7b3a9_raw.ome.tif,crop_seg/bf49ecb01fcea6ee3d966beb801618fa8f1b62a7e5fdb0061695868bf2543961_segmentation.ome.tif,0.108333,3500001995,128235
311648,2704,LMNB1,M0,crop_raw/e5fb8688fdb8bdc38b33091283f8eeae21488d3dddf0a9d33fc5b05a687bf0dc_raw.ome.tif,crop_seg/df1e6c650b7e6804933f6d3d21cb91a552404e59ea297b82af44ac43fb85b05c_segmentation.ome.tif,0.108333,3500000954,21943
279401,1579,LMNB1,M0,crop_raw/329b43af6768faf0ae3b08b5b6d7896cdb72349cc5691cfd2dca451d51194704_raw.ome.tif,crop_seg/aee5df3407b51fb595f53bad1c2386a01cd7c1a978ce744614d438563849ffae_segmentation.ome.tif,0.108333,3500000876,14069
957522,15494,ACTN1,M0,crop_raw/18d608f063f3c77408dab523f8fe48ea2027ac8d9f6aacf47bc735e0477617d2_raw.ome.tif,crop_seg/ee1aed3156a59f4b6e1925bac1ab6a8977333f9a9e114e0d5780655e77a987d4_segmentation.ome.tif,0.108333,3500001888,115541
635736,12138,ACTN1,M0,crop_raw/0ce96d6f72778a93df3cf7bb0ce313534a38bdab4eea53879824df91f6ed2a0c_raw.ome.tif,crop_seg/37b6cded87392650d5526168663ba7ac0bce22ab784de776fd744075c386a4b0_segmentation.ome.tif,0.108333,3500001872,115157
850167,145966,ATP2A2,M0,crop_raw/3004cd09c5be2f3817f7ea88176bf42d0dd74d78e86b57e42e6010c17f0f3dc7_raw.ome.tif,crop_seg/f088b878b84b4ca2c2c7637053c12a602c01d5df7a26ea9e3ea06e2a868a0996_segmentation.ome.tif,0.108333,3500003037,204903
920276,146414,ATP2A2,M0,crop_raw/dc4ac6c3eadd3c887ffd3b40e7b61b57aa5e5bf9f864b7773d41812ff6318228_raw.ome.tif,crop_seg/2f4581f0f5a8ae6df13ecf19acafff0e5784e248b9dfeae33e2354f005f9399a_segmentation.ome.tif,0.108333,3500003118,209667
517888,10829,AAVS1,M0,crop_raw/6ea43a12a3230882b37919ad2525b20a5efb1be8e6003aafb7bbf75768424002_raw.ome.tif,crop_seg/b80e301a1d84a54e2f6b7812c653c570648f8eb80f66542d6d359bebaa810aa2_segmentation.ome.tif,0.108333,3500001831,107479
519802,10849,AAVS1,M0,crop_raw/5a68a5ed2d269e34756d8028bae3be55b3fc23db9d0d78106ff927b38b95ec91_raw.ome.tif,crop_seg/62bb7117d895284807465cc49bc5cb4eeb3d3c9f6b5ef24063409e1db37e9ef1_segmentation.ome.tif,0.108333,3500001831,107479
