cell_id,fov_id,gene,cell_stage,crop_raw,crop_seg,scale_micron,plate_id,well_id
266283,1177,TOMM20,M4M5,crop_raw/e5e82992b0ade92269773dc1f7d5568dff7cbd68563053c53db7c2b7f9d1ad5a_raw.ome.tif,crop_seg/394fa0490008269e06832536e06ebb66f26b63813d8a25f0f8f3286e48940e4b_segmentation.ome.tif,0.108333,3500000815,8980
264269,1116,TOMM20,M3,crop_raw/679ceb26b192b67d1f737491bddc6ad220386cbdd8bd23fe56530e04c0158836_raw.ome.tif,crop_seg/bd65ff899a658f20bb94bd3d50fc93b0f92be6f1b1764f114c64122b6ffdb539_segmentation.ome.tif,0.108333,3500000812,7156
325878,3151,TOMM20,M1M2,crop_raw/62ff2f30f42b33225db643d35515b6766c4875684ac6a696156987ec7dc11f87_raw.ome.tif,crop_seg/61db92e7c4a2ffbdc841912aef6ae53e14e96b98525b37d89335539fb3d72c4e_segmentation.ome.tif,0.108333,3500000961,22328
276751,1495,TOMM20,M3,crop_raw/f632c980d8c634e2d5f285da8fe86f7958123f62c7ef913d46d9eab20dbf3a15_raw.ome.tif,crop_seg/e0b4df3588022d4297d2852974305dbc3687db42358a2267a839b705f5efc60f_segmentation.ome.tif,0.108333,3500000845,11490
258622,953,TOMM20,M4M5,crop_raw/d61ab7f09f2066dde8fc4451ad811cd23898be25c2e20470169b52904510ab61_raw.ome.tif,crop_seg/a2fe8f4e2a902c5c0431d689aedeb96cb6bd7f53c277d9a9aa8d0cb91dcf0917_segmentation.ome.tif,0.108333,3500000778,5143
333865,3404,TOMM20,M1M2,crop_raw/8956bf573fd965f37179fb724da507ea3930af01a10e4bde3fc56ea4a98c1544_raw.ome.tif,crop_seg/d071d7b90085bddf4aa978972f90fac6f727f05f6900924256ec53537bc59643_segmentation.ome.tif,0.108333,3500000989,23768
271061,1330,TOMM20,M4M5,crop_raw/a8afcb1c5651459de561a79e221025daea738dc7b9192c8d5fd8c485b1a30980_raw.ome.tif,crop_seg/251501cd141304fe50ecf35eb7e6787b1423e71b36c18f1a41cf7682b3841b36_segmentation.ome.tif,0.108333,3500000818,7349
960041,15694,TOMM20,M4M5,crop_raw/613eb85c6523f38213fb2bf246448c915e45ec56485d4377d1f769261032251d_raw.ome.tif,crop_seg/3132743f685087ebdc8e183ff7b9824d2acb44738bcc77bd195d9b4ec5b7a2b6_segmentation.ome.tif,0.108333,3500002099,137955
337169,3511,TOMM20,M4M5,crop_raw/5459c7f73bd27a955b13f7fed35f5f2a5f23c068313fdee32dfe6b118ac2a4b1_raw.ome.tif,crop_seg/6134f009bf473905a581e41c0f3d5d7f6741423045b88dbffe1954d82d2d3481_segmentation.ome.tif,0.108333,3500000997,24150
965251,16131,TOMM20,M1M2,crop_raw/3f4cd4ff9946ed41b5d77b9a8370cc55d2a649c10c10a68bd78277d0ec0ee884_raw.ome.tif,crop_seg/09e7cb7f814ed7170a6244f23fb94c7ebc8912196d7451ac5d642cc846386c42_segmentation.ome.tif,0.108333,3500002099,137952
320100,2968,TOMM20,M4M5,crop_raw/f9f24978444c8c6451ad63bed1f3669bbf7eb5b7550ca0f93c9c4a2f35de4ba3_raw.ome.tif,crop_seg/dddce42c5c46c40d16f3b1ed82d92f06645064122d72576dfcbbd6141e43ddb0_segmentation.ome.tif,0.108333,3500000969,22625
973112,16856,TOMM20,M3,crop_raw/68b08f0f85ce42a1ae268686da1151d0022bc9ceda5fba5a392085c35a46c641_raw.ome.tif,crop_seg/acd9aaa797fa901f67f6585238449b642982dc4bc7f922665fe81125f1bc3464_segmentation.ome.tif,0.108333,3500002099,137954
275981,1473,TOMM20,M3,crop_raw/178844c55e13bec01e12fac2779f93f318c56e09d8d541881272fb731f9841db_raw.ome.tif,crop_seg/98415cd9b63cf802820d3522ffd40a4fc538c31db6685961f6ca4a7c01fcf381_segmentation.ome.tif,0.108333,3500000845,11478
259528,979,TOMM20,M4M5,crop_raw/db3399bcc6cf046ca8a4b9644a175cd6ead5fed6d7c458c2326adf3e96140b23_raw.ome.tif,crop_seg/07150d8082d76936652f39753a7bcfe19e03e1cd11e534af886535a12765fe44_segmentation.ome.tif,0.108333,3500000801,6486
274127,1418,TOMM20,M4M5,crop_raw/f89312f19f8821de9fe6d697bc33737e37ea6af233e46950a7e79604fe20a100_raw.ome.tif,crop_seg/5b2c2c9144cb75cc43405345da6e753d079d907c9fdd84c66191a120187c6ca1_segmentation.ome.tif,0.108333,3500000846,11574
332011,3347,TOMM20,M1M2,crop_raw/0508279dc3f82adb160a15ce48a38a18bfc4e8ba08971d96454f3f7731bbffa6_raw.ome.tif,crop_seg/07794849a5aca5d5288b374a22fc4473e93d360101b6198ee5aa1159b7756ff6_segmentation.ome.tif,0.108333,3500000986,23479
261048,1017,TOMM20,M1M2,crop_raw/c4f55d5772d3723b7100011f201848f90522dd777fdd3145ac91c1ba24fcb7a3_raw.ome.tif,crop_seg/68544fe3208215b1e6d7ae94c1596eeb01c29be9978c718e4064e61c1b5ef463_segmentation.ome.tif,0.108333,3500000801,6497
332146,3351,TOMM20,M1M2,crop_raw/d0f9011c1fbb52d2b2269a8e143d5357bb067406b420d2b58c5b73a2f8a954c4_raw.ome.tif,crop_seg/64b60cb0d8ae39dabf4e694fe6a599488bdb46da3f94bee265a1e37f119d0be3_segmentation.ome.tif,0.108333,3500000986,23476
264243,1115,TOMM20,M1M2,crop_raw/3adc5c601b8ce239bee126fcb8f1cb0a6e64609084ea3f905cc55a9cc99cb2e5_raw.ome.tif,crop_seg/dcf9306cd964e5ae3e751ed3071ae0f492cf57ad745a3abef5d98394d1109503_segmentation.ome.tif,0.108333,3500000812,7158
275737,1467,TOMM20,M1M2,crop_raw/2baf739949648a04606eb3a0aba82c233a2b968b67dc73b352f5f91c83f8140e_raw.ome.tif,crop_seg/d57a8e50af958aeb81a24ac4a49a84c4643980802d1a82caec16751bc1151ed8_segmentation.ome.tif,0.108333,3500000845,11492
346167,3792,TOMM20,M1M2,crop_raw/8354440b09f020e16d28184bf01fd1226be02a3ff510fa1e86b0c1f7978855c6_raw.ome.tif,crop_seg/372a9a9d3ae962bc53dbbcfdc1c922da1a9bc07dac3494d5e051e3ab64788cfb_segmentation.ome.tif,0.108333,3500001012,25204
321329,3008,TOMM20,M1M2,crop_raw/60d888ecea76aaf83502469e6c839a5c1ef6aa030ebbec0ce313a87fb0df4aa7_raw.ome.tif,crop_seg/69a541240b5a58f762d1a6f9d8cb3b20b055016fd9d5847f6991294bab0297f8_segmentation.ome.tif,0.108333,3500000973,28000
270664,1320,TOMM20,M3,crop_raw/3874033123fffc60f1aa18c99e874796bdca50d6e9a19add1dee3dace6c130a1_raw.ome.tif,crop_seg/673ba4392b83572dca0ffdb3b2591155cb62bf59c06f20c33e6869ea070aae45_segmentation.ome.tif,0.108333,3500000818,7349
393360,14379,TOMM20,M4M5,crop_raw/890fffe38a1365e293447727ab591a71a3dbb575535016008fd1fa385a5d0353_raw.ome.tif,crop_seg/3288f00f76c8de85d1beba42d7bf1e51e44e5a40ca56bf455257722e4714910c_segmentation.ome.tif,0.108333,3500001034,30292
341399,3651,TOMM20,M3,crop_raw/12856b76541204bf6756a9a1e1d760fc424c2c02bef8eb462ffd757320784767_raw.ome.tif,crop_seg/0d1a61c17d4093ee407e2cffd795029dd17f5e5706c363380a5d300b268b0476_segmentation.ome.tif,0.108333,3500001005,24727
264834,1133,TOMM20,M4M5,crop_raw/a1482a235378239ca8faa5cfa6279569c88ba0c8d854705029f6743048ab9452_raw.ome.tif,crop_seg/031acbc1597f5251e588171576c2b7c9dd43efb7008579bf0427590e93c4ff80_segmentation.ome.tif,0.108333,3500000812,7157
912754,14164,TOMM20,M1M2,crop_raw/f53ca4fd8f567393ec1ba51730039fb50d9e3911830fff18412983a9ecfa941c_raw.ome.tif,crop_seg/b30a595cf1a4cace92180d5cf35b83b7634de652d245200eca48081109044af2_segmentation.ome.tif,0.108333,3500002087,135620
261621,1034,TOMM20,M4M5,crop_raw/a70cf1cfa849b065b51587abb1a10cb413c89050fa1b77d1738d91b0dcb728ea_raw.ome.tif,crop_seg/5c2e352c1352f58317acac2e16912ffbd8dab8f087a56ca95a4b88f861af12e1_segmentation.ome.tif,0.108333,3500000786,5240
272443,1367,TOMM20,M4M5,crop_raw/d16572d06d18a130d08bede3ce56fc2805fd48f1602904d9ecd7c57053c7490d_raw.ome.tif,crop_seg/742e5f4f237723fe6c736c47e87f40ab8059060d50e36af5d6e964db93008af4_segmentation.ome.tif,0.108333,3500000842,10904
267919,1231,TOMM20,M1M2,crop_raw/781741f79e041fa475fb7b9416d5db4eeeb7a8ad9b0e534d740883e114154b62_raw.ome.tif,crop_seg/d8aaa4cc336b90ac79d5225e3d156bb73f04b9bed09a96ae9df3c7cdfec5fb1b_segmentation.ome.tif,0.108333,3500000802,8705
276881,1499,TOMM20,M4M5,crop_raw/2a35d848fdec496c054e49a63e21691e9fbfb591e6f205b3737da67c2e93a034_raw.ome.tif,crop_seg/86b0e242f6a1cd8390da6e2266fd93d64c4967ed824213f4aadf9c19e4d00c19_segmentation.ome.tif,0.108333,3500000845,11491
339780,3584,TOMM20,M1M2,crop_raw/3c1da76960a4d9d25e80a2ace550425f04b9bdd2e401adcf74e83a42128785e3_raw.ome.tif,crop_seg/677006083e30b9f3576c66ba93d3194bbfd7a5bd2bc4070cb0e767e5b95a1d2d_segmentation.ome.tif,0.108333,3500001003,24931
