compartment,protein_a,protein_b,a_split,b_in_sample
chromatin,CTNNBL1,PRPF19,training,True
chromatin,EFTUD2,PRPF8,held-out,False
chromatin,EFTUD2,RBM42,held-out,True
chromatin,EFTUD2,SNRNP40,held-out,False
chromatin,EFTUD2,SNRPD2,held-out,False
chromatin,EFTUD2,SNRPF,held-out,True
chromatin,PRPF4B,CTNNBL1,held-out,True
chromatin,PRPF4B,DDX39B,held-out,False
chromatin,PRPF4B,EFTUD2,held-out,True
chromatin,PRPF4B,PRPF19,held-out,True
chromatin,PRPF4B,PRPF8,held-out,False
chromatin,PRPF4B,RBM22,held-out,True
chromatin,PRPF4B,RBM25,held-out,False
chromatin,PRPF4B,RBM8A,held-out,True
chromatin,PRPF4B,SF3A1,held-out,True
chromatin,PRPF4B,SF3B1,held-out,True
chromatin,PRPF4B,SF3B2,held-out,True
chromatin,PRPF4B,SF3B3,held-out,True
chromatin,PRPF4B,SNRNP40,held-out,False
chromatin,PRPF4B,SNRPD2,held-out,False
chromatin,RAD21,STAG2,training,False
chromatin,RBM33,DDX39B,training,False
chromatin,RBM33,PRPF8,training,False
chromatin,RBM33,RBM8A,training,True
chromatin,RBM42,DHX9,held-out,False
chromatin,RBM42,PRPF19,held-out,True
chromatin,RBM42,PRPF4B,held-out,True
chromatin,RBM42,PRPF8,held-out,False
chromatin,RBM42,RBM22,held-out,True
chromatin,RBM42,RBM8A,held-out,True
chromatin,RBM42,SNRNP40,held-out,False
chromatin,RBM42,SNRPD2,held-out,False
chromatin,RBM42,SNRPF,held-out,True
chromatin,RBM5,SF3A3,training,False
chromatin,RBM5,SF3B3,training,True
chromatin,RBM8A,DDX39B,held-out,False
chromatin,RBM8A,DHX9,held-out,False
chromatin,RBM8A,PRPF8,held-out,False
chromatin,SF3A1,CTNNBL1,training,True
chromatin,SF3A1,DDX39B,training,False
chromatin,SF3A1,EFTUD2,training,True
chromatin,SF3A1,PRPF19,training,True
chromatin,SF3A1,PRPF8,training,False
chromatin,SF3A1,RBM17,training,False
chromatin,SF3A1,RBM22,training,True
chromatin,SF3A1,RBM25,training,False
chromatin,SF3A1,RBM8A,training,True
