compartment,gene,ensg,split,secondary_localisations,n_interactors,protein_copy_number
cytoplasmic,CCT3,ENSG00000163468,held-out,nucleoplasm:2,13,3164689.3047559997
cytoplasmic,FXR2,ENSG00000129245,held-out,small_aggregates:1,2,186975.4772074
cytoplasmic,IKBKB,ENSG00000104365,held-out,nucleoplasm:2;small_aggregates:2,4,37931.98474688
cytoplasmic,MAP2K1,ENSG00000169032,held-out,,14,299885.366298
cytoplasmic,OXSR1,ENSG00000172939,held-out,nucleoplasm:2,6,268905.2767324
cytoplasmic,RELA,ENSG00000173039,held-out,nucleoplasm:1,19,209036.6581072
cytoplasmic,SLK,ENSG00000065613,held-out,membrane:1;nucleoplasm:1,4,257642.9587536
cytoplasmic,SNX17,ENSG00000115234,held-out,nucleoplasm:1;vesicles:2,2,91892.9416048
cytoplasmic,ANKZF1,ENSG00000163516,training,,16,43915.59975852
cytoplasmic,GSK3A,ENSG00000105723,training,vesicles:2,10,111946.2564934
cytoplasmic,GYG1,ENSG00000163754,training,,6,431885.0967886
cytoplasmic,KIF3B,ENSG00000101350,training,centrosome:2;small_aggregates:2,3,32915.92623466
cytoplasmic,METAP2,ENSG00000111142,training,nucleolus_gc:1;nucleoplasm:1,159,510823.1479302
cytoplasmic,NEMF,ENSG00000165525,training,,0,100113.6023902
cytoplasmic,NRBP1,ENSG00000115216,training,nucleoplasm:1,8,178711.2703306
cytoplasmic,OCRL,ENSG00000122126,training,golgi:1;vesicles:2,6,120811.4506858
cytoplasmic,PAK4,ENSG00000130669,training,cell_contact:1;centrosome:2,5,167569.6311982
cytoplasmic,RABGAP1L,ENSG00000152061,training,centrosome:2;golgi:2;nucleoplasm:1;vesicles:2,2,74386.978218
cytoplasmic,RPL4,ENSG00000174444,training,nucleolus_gc:2,127,5529399.354122
cytoplasmic,RPS16,ENSG00000105193,training,,325,2218873.622364
cytoplasmic,RPS6KA1,ENSG00000117676,training,nucleoplasm:2,2,156347.4594556
cytoplasmic,SRP72,ENSG00000174780,training,,168,645757.159824
cytoplasmic,STK26,ENSG00000134602,training,golgi:2;nucleoplasm:1,47,364196.6523356
cytoplasmic,WASF2,ENSG00000158195,training,membrane:2,20,109994.8153402
nucleoplasm,CD2BP2,ENSG00000169217,held-out,nuclear_punctae:2,38,452851.8415078
nucleoplasm,FAM50B,ENSG00000145945,held-out,nucleolus_gc:1,1,9371.3900462
nucleoplasm,HNRNPC,ENSG00000092199,held-out,chromatin:2,26,6242216.75966
nucleoplasm,HSPA4,ENSG00000170606,held-out,cytoplasmic:2;nuclear_punctae:2;nucleus_cytoplasm_variation:2,49,2240081.1968219997
nucleoplasm,KIAA1143,ENSG00000163807,held-out,,4,195355.743604
nucleoplasm,NUMA1,ENSG00000137497,held-out,chromatin:2,227,490962.4510084
nucleoplasm,RBM4,ENSG00000173933,held-out,chromatin:2;cytoplasmic:1,4,1561148.896986
nucleoplasm,SMARCB1,ENSG00000099956,held-out,chromatin:2,11,297022.6589624
nucleoplasm,BRD3,ENSG00000169925,training,,1,98105.5019
nucleoplasm,CDK12,ENSG00000167258,training,chromatin:2;nuclear_punctae:2,4,139714.793449
nucleoplasm,CUTC,ENSG00000119929,training,,3,193681.7293348
nucleoplasm,H1-0,ENSG00000189060,training,chromatin:2,76,1061228.158746
nucleoplasm,HDAC1,ENSG00000116478,training,chromatin:2,0,875496.958168
nucleoplasm,HMGB2,ENSG00000164104,training,chromatin:2,87,4092204.022802
nucleoplasm,POLR2C,ENSG00000102978,training,chromatin:1;cytoplasmic:1;nuclear_punctae:2,20,470904.3206616
nucleoplasm,POLR2I,ENSG00000105258,training,cytoplasmic:1;nuclear_punctae:1,24,334987.3224124
nucleoplasm,PPM1G,ENSG00000115241,training,,59,1029003.042158
nucleoplasm,PSMB4,ENSG00000159377,training,cytoplasmic:2,25,1340604.6402140001
nucleoplasm,PSMD7,ENSG00000103035,training,big_aggregates:2;cytoplasmic:2,15,1146281.801588
nucleoplasm,PSME3,ENSG00000131467,training,,33,2241899.954406
nucleoplasm,RBBP4,ENSG00000162521,training,chromatin:2,52,2231245.876398
nucleoplasm,SMARCC1,ENSG00000173473,training,chromatin:2,12,520238.415228
nucleoplasm,SMARCE1,ENSG00000073584,training,chromatin:2,20,356791.4308308
nucleoplasm,TRIM28,ENSG00000130726,training,,79,2297748.44677
vesicles,ATP6V1A,ENSG00000114573,held-out,,10,740617.688482
vesicles,CCDC93,ENSG00000125633,held-out,,22,67052.7668874
vesicles,SEC22B,ENSG00000265808,held-out,er:2,6,839274.11008
vesicles,SLC6A15,ENSG00000072041,held-out,,6,97342.26824
vesicles,SNX5,ENSG00000089006,held-out,cytoplasmic:1,6,378792.1750242
vesicles,STX12,ENSG00000117758,held-out,,41,467511.0037234
vesicles,STX6,ENSG00000135823,held-out,,16,79159.859968
vesicles,VPS16,ENSG00000215305,held-out,cytoplasmic:2,4,71192.2245384
vesicles,APPL1,ENSG00000157500,training,cytoplasmic:2,0,177635.5690522
vesicles,ATG2B,ENSG00000066739,training,cytoplasmic:2,2,19483.16859286
vesicles,ATP1A1,ENSG00000163399,training,membrane:2,9,1345888.1895340001
vesicles,CLCN7,ENSG00000103249,training,,2,22030.32591354
vesicles,GOSR2,ENSG00000108433,training,golgi:2,10,213773.5954004
