gene,compartment,plate_id,well_id
AAMP,cytoplasmic,P0012,B12
AATF,nucleolus_gc,P0012,E09
ACLY,cytoplasmic,P0007,A11
ACTR2,membrane,P0008,D09
ACTR5,nucleoplasm,P0021,E04
AGO2,cytoplasmic,P0013,H09
AKAP12,membrane,P0011,C04
AKAP8L,chromatin,P0016,D11
AKT1S1,cytoplasmic,P0019,A10
AKT2,membrane,P0013,A04
ANKRD17,cytoplasmic,P0015,G06
ANKRD28,cytoplasmic,P0015,G12
ANKRD46,er,P0015,H02
ANKRD52,cytoplasmic,P0015,G11
ANKRD54,nucleoplasm,P0015,G08
ANKZF1,cytoplasmic,P0015,H06
AP2B1,membrane,P0021,E12
AP2S1,membrane,P0019,E12
APPL1,vesicles,P0008,D08
APPL2,cytoplasmic,P0010,B12
ARAF,cytoplasmic,P0013,A06
ARF4,er,P0010,A07
ARF5,er,P0010,A08
ARF6,membrane,P0010,A09
ARHGAP35,cytoplasmic,P0009,A04
ARID1A,nucleoplasm,P0018,G06
ARL6IP1,er,P0005,H09
ATG12,cytoplasmic,P0021,C05
ATG14,vesicles,P0021,D03
ATG2A,vesicles,P0021,C12
ATG2B,vesicles,P0021,D01
ATG3,cytoplasmic,P0021,C07
ATG7,cytoplasmic,P0021,C11
ATG9A,vesicles,P0005,G03
ATP1A1,vesicles,P0003,C09
ATP2B1,membrane,P0003,D01
ATP6AP1,vesicles,P0018,E01
ATP6V0A1,vesicles,P0018,E03
ATP6V0D1,vesicles,P0018,E05
ATP6V1A,vesicles,P0018,E08
ATP6V1B2,vesicles,P0018,E09
ATP6V1H,vesicles,P0018,F02
ATXN10,cytoplasmic,P0018,G11
ATXN2L,cytoplasmic,P0016,A12
BAZ1A,chromatin,P0013,A10
BAZ1B,chromatin,P0013,A11
BCAP31,er,P0001,A03
BET1,vesicles,P0002,A03
BET1L,vesicles,P0002,A06
BNIP1,er,P0002,A09
BOP1,nucleolus_gc,P0012,C11
BRD2,nucleoplasm,P0013,B01
BRD3,nucleoplasm,P0013,B02
BRD4,nucleoplasm,P0013,B03
BTF3,cytoplasmic,P0005,F04
BUD23,nucleolus_gc,P0012,C09
BYSL,nucleolus_gc,P0012,E08
C14orf119,cytoplasmic,P0001,A06
C18orf21,nucleolus_gc,P0001,A10
C7orf50,nucleolus_gc,P0001,B10
C9orf78,nucleoplasm,P0011,C05
CAD,cytoplasmic,P0011,F04
CAMK1,cytoplasmic,P0013,B05
CANX,er,P0006,F07
CAPRIN1,cytoplasmic,P0016,B02
CASP3,cytoplasmic,P0019,B08
CCDC22,vesicles,P0007,H02
CCDC47,er,P0022,G11
CCDC86,nucleolus_gc,P0011,G08
CCDC93,vesicles,P0007,H03
CCT3,cytoplasmic,P0007,C08
CCT4,cytoplasmic,P0007,C09
CCT5,cytoplasmic,P0007,C10
CCT6A,cytoplasmic,P0007,C11
CD2BP2,nucleoplasm,P0018,C09
CD63,vesicles,P0001,C09
CDC42BPB,membrane,P0013,B09
CDC7,nucleoplasm,P0013,B10
CDK12,nucleoplasm,P0013,C01
CDK2,nucleoplasm,P0013,C04
CDK7,nucleoplasm,P0013,C07
CDK9,nucleoplasm,P0013,C08
CERS5,er,P0004,C04
CERS6,er,P0011,G06
CHEK1,nucleoplasm,P0008,E10
CHEK2,nucleoplasm,P0013,C09
CHM,cytoplasmic,P0005,G04
CHMP1A,vesicles,P0002,C05
CHMP3,vesicles,P0005,F07
CHMP4B,vesicles,P0002,C09
CHMP7,cytoplasmic,P0002,C12
CLCN7,vesicles,P0018,F06
CLINT1,vesicles,P0002,H05
CLTA,vesicles,P0001,C12
CLTB,vesicles,P0001,D01
CLTC,vesicles,P0001,D02
COMMD1,vesicles,P0007,H06
COMMD2,vesicles,P0007,H07
COMMD4,vesicles,P0007,H08
COMMD6,vesicles,P0007,H09
CORO1B,membrane,P0008,E11
CPSF6,nucleoplasm,P0011,B07
CSE1L,nucleoplasm,P0016,E06
CSK,cytoplasmic,P0011,H05
CTCF,nucleoplasm,P0019,D02
CTNNB1,membrane,P0010,H09
CTNNBL1,chromatin,P0011,H09
CTPS1,cytoplasmic,P0019,G12
CUTC,nucleoplasm,P0011,H07
CYB5R3,er,P0004,B05
DAD1,er,P0007,A10
DBNL,vesicles,P0008,F02
DCP1A,vesicles,P0002,H10
DCP1B,vesicles,P0002,H08
DCP2,vesicles,P0002,H09
DDB1,nucleoplasm,P0012,B10
DDOST,er,P0007,A04
DDX21,nucleolus_gc,P0012,C01
DDX39B,chromatin,P0019,F08
DDX47,nucleolus_gc,P0012,E11
DDX56,nucleolus_gc,P0012,D02
DHX37,nucleolus_gc,P0012,G08
DHX9,chromatin,P0012,B07
DIAPH1,cytoplasmic,P0009,F01
DNAJC13,vesicles,P0005,B12
DNAJC17,nucleoplasm,P0005,C02
DNAJC2,cytoplasmic,P0005,C04
DNM1,cytoplasmic,P0008,F03
DNM1L,vesicles,P0016,E01
DNTTIP1,nucleoplasm,P0011,H06
DRG1,cytoplasmic,P0018,C03
DYNC1LI1,cytoplasmic,P0017,A05
DYNC1LI2,cytoplasmic,P0017,A06
ECPAS,cytoplasmic,P0011,G04
EDC4,vesicles,P0002,H03
EEA1,vesicles,P0008,G01
EEF1G,cytoplasmic,P0019,F05
EFTUD2,chromatin,P0019,H01
EIF2AK2,cytoplasmic,P0010,H06
EIF3B,cytoplasmic,P0019,G03
EIF3G,cytoplasmic,P0019,F12
EIF3K,cytoplasmic,P0011,D06
EIF4A1,cytoplasmic,P0019,F07
EMC1,er,P0021,A11
EMC2,er,P0021,A12
