interphase 720 cells | mitotic 180 cells
canonical grid (24, 48, 48) | voxel [0.402 0.392 0.625] um mean, range [0.208 0.205 0.302]-[0.754 0.702 1.117]

| line | cells | FOVs | cell volume (um^3) | nucleus (um^3) | structure, % of cell voxels |
|---|---|---|---|---|---|
| AAVS1 | 80 | 80 | 1758 +- 484 | 506 | 18.3 |
| ACTB | 80 | 80 | 1757 +- 420 | 515 | 3.4 |
| ACTN1 | 80 | 80 | 1909 +- 478 | 547 | 3.1 |
| ATP2A2 | 80 | 80 | 1507 +- 417 | 436 | 11.0 |
| LMNB1 | 80 | 80 | 1723 +- 517 | 503 | 9.3 |
| NUP153 | 80 | 80 | 1707 +- 417 | 497 | 3.0 |
| SEC61B | 80 | 80 | 2043 +- 515 | 565 | 11.9 |
| TOMM20 | 80 | 80 | 1804 +- 514 | 532 | 8.5 |
| TUBA1B | 80 | 80 | 1752 +- 592 | 519 | 12.2 |
