gene,n_residues,rg_angstrom,rh_angstrom,dmax_angstrom,asphericity,anisotropy,axial_ratio,perrin_friction,compactness_vs_globular,diffusion_relative,net_charge,isoelectric_point,surface_charge,charge_dipole
AAMP,434,27.81,35.88,137.53,0.3212,0.1213,1.92,1.0387,1.2578,0.5366,-46.9,4.14,-37.9,732.7
AATF,560,38.85,50.11,137.75,0.1773,0.0326,1.331,1.0074,1.5945,0.3962,-37.7,4.68,-46.3,567.5
ACLY,1101,40.21,51.87,124.31,0.4306,0.1915,2.069,1.0484,1.2765,0.3678,0.5,6.95,-5.4,247.0
ACTR2,394,22.16,28.59,70.42,0.2553,0.1276,2.201,1.0571,1.0397,0.6618,-2.2,6.3,-9.6,35.4
ACTR5,607,34.24,44.16,111.55,0.227,0.0782,1.722,1.0268,1.3628,0.441,-21.6,5.04,-23.7,350.4
AGO2,859,31.03,40.03,100.2,0.2474,0.0787,1.69,1.025,1.0825,0.4875,33.2,9.43,18.4,348.3
AKAP12,1782,70.86,91.41,222.99,0.2278,0.1084,2.01,1.0445,1.8735,0.2095,-223.7,4.22,-120.1,1726.2
AKAP8L,646,44.02,56.78,136.08,0.0742,0.01,1.191,1.0027,1.7112,0.3513,-28.1,4.8,-29.0,196.4
AKT1S1,256,35.86,46.26,112.25,0.316,0.1097,1.784,1.0305,1.9818,0.4196,-15.7,4.5,-16.0,439.3
AKT2,481,26.67,34.41,80.88,0.2873,0.1166,2.001,1.0439,1.1599,0.5568,-5.9,5.95,-8.5,203.6
ANKRD17,2603,60.76,78.38,219.65,0.2162,0.0599,1.564,1.0181,1.391,0.2506,-29.0,6.06,-1.5,3786.1
ANKRD28,1053,47.04,60.69,153.9,0.3505,0.1251,1.732,1.0273,1.519,0.3208,-27.2,5.79,-26.1,591.5
ANKRD46,228,30.75,39.66,104.75,0.6054,0.3876,3.931,1.1777,1.7757,0.4282,-7.2,5.36,-1.7,161.4
ANKRD52,1076,46.25,59.66,153.12,0.3077,0.0971,1.631,1.0217,1.481,0.3281,-21.8,6.01,-9.5,483.7
ANKRD54,300,30.49,39.34,136.36,0.5996,0.3635,2.743,1.0945,1.5867,0.4645,-6.8,5.83,-3.6,568.0
ANKZF1,726,40.22,51.89,136.02,0.1784,0.0555,1.563,1.018,1.4958,0.3786,8.8,8.38,-8.5,484.6
AP2B1,937,35.99,46.43,106.09,0.2263,0.0734,1.679,1.0243,1.2148,0.4205,-24.4,5.1,-45.9,447.6
AP2S1,142,14.7,18.96,46.67,0.303,0.0925,1.567,1.0182,1.0161,1.036,-2.6,5.77,-4.8,65.2
APPL1,709,53.75,69.34,212.48,0.5887,0.3696,3.83,1.1707,2.017,0.2464,-20.6,5.15,-13.8,296.4
APPL2,664,47.91,61.81,181.35,0.6698,0.4528,3.268,1.1314,1.8434,0.286,-29.1,4.72,-25.9,339.1
ARAF,606,34.46,44.46,140.01,0.2899,0.0886,1.631,1.0217,1.3728,0.4403,18.0,9.2,5.0,327.5
ARF4,180,16.66,21.49,63.36,0.3094,0.0967,1.596,1.0198,1.0524,0.9127,0.1,7.03,4.1,138.0
ARF5,180,16.57,21.38,62.25,0.3191,0.1028,1.617,1.0209,1.047,0.9164,-0.7,6.37,1.3,133.4
ARF6,175,15.8,20.38,58.99,0.2843,0.0835,1.581,1.019,1.009,0.9629,4.3,9.32,3.2,160.6
ARHGAP35,1499,62.72,80.9,189.71,0.6822,0.4666,3.032,1.1148,1.7707,0.2217,-13.9,6.18,-7.7,1176.9
ARID1A,2285,60.72,78.32,183.04,0.0931,0.0139,1.232,1.0039,1.4605,0.2544,-13.5,6.23,-7.6,2619.5
ARL6IP1,203,22.33,28.81,72.45,0.2237,0.0561,1.503,1.015,1.348,0.684,7.3,9.69,8.2,209.8
ATG12,140,21.92,28.28,84.17,0.5154,0.2716,2.405,1.0709,1.5236,0.6605,-3.9,4.86,-9.0,99.6
ATG14,492,71.58,92.33,229.65,0.8776,0.7708,5.908,1.3081,3.086,0.1656,-1.0,6.6,-14.7,1568.0
ATG2A,1938,59.79,77.13,214.34,0.6813,0.4655,3.05,1.1161,1.5311,0.2323,-51.7,5.51,-53.2,1526.6
ATG2B,2078,59.99,77.39,219.96,0.6512,0.4248,2.762,1.0958,1.4961,0.2358,-60.4,5.41,-51.1,804.8
ATG3,314,26.86,34.66,84.31,0.3574,0.154,2.176,1.0554,1.3738,0.5468,-29.8,4.51,-28.8,748.7
ATG7,703,42.09,54.29,162.66,0.7876,0.6209,3.895,1.1752,1.5844,0.3135,-8.6,5.81,-21.6,351.9
ATG9A,839,36.09,46.56,137.25,0.1357,0.0198,1.26,1.0048,1.2705,0.4275,-10.6,6.19,-14.3,287.5
ATP1A1,1023,38.34,49.46,135.6,0.5946,0.3632,3.049,1.116,1.2516,0.3624,-21.5,5.21,-14.3,62.0
ATP2B1,1220,40.8,52.63,137.09,0.4515,0.2176,2.347,1.067,1.2457,0.3562,-18.1,5.57,-33.9,505.3
ATP6AP1,470,32.95,42.5,116.02,0.3935,0.1872,2.462,1.0749,1.4455,0.4378,-6.1,5.7,3.4,408.2
ATP6V0A1,837,44.4,57.28,151.28,0.465,0.2562,3.199,1.1265,1.5644,0.3099,-9.1,5.99,-15.2,374.9
ATP6V0D1,351,21.08,27.2,59.37,0.113,0.0132,1.2,1.003,1.0335,0.7332,-18.1,4.75,-23.6,131.1
ATP6V1A,617,28.31,36.52,101.57,0.5408,0.3033,2.731,1.0936,1.1199,0.5008,-13.1,5.22,-8.5,123.4
ATP6V1B2,511,27.62,35.63,94.73,0.3601,0.1666,2.367,1.0683,1.1739,0.5254,-8.2,5.48,-4.7,211.9
ATP6V1H,483,28.94,37.34,100.94,0.6315,0.3997,2.684,1.0903,1.2566,0.4913,-4.9,6.05,-14.5,220.8
ATXN10,475,31.53,40.67,109.51,0.7108,0.507,3.34,1.1365,1.3777,0.4327,-15.2,4.98,-18.5,297.9
ATXN2L,1075,53.99,69.65,160.6,0.1102,0.0201,1.289,1.0058,1.7297,0.2855,9.3,8.79,15.3,966.5
BAZ1A,1556,54.23,69.96,209.48,0.4435,0.2007,2.054,1.0474,1.5096,0.2729,-11.9,6.17,-11.1,2194.2
BAZ1B,1483,52.83,68.15,195.87,0.4643,0.2179,2.066,1.0482,1.4977,0.28,24.1,8.52,13.9,3647.6
BCAP31,246,41.71,53.81,127.91,0.5063,0.3184,5.689,1.2943,2.3405,0.2872,2.3,8.92,-1.8,218.3
BET1,118,49.53,63.9,161.26,0.9505,0.9039,8.0,1.7434,3.6743,0.1795,4.1,9.42,4.0,384.9
BET1L,111,46.97,60.6,155.0,0.9769,0.9544,8.0,2.2468,3.5663,0.1469,1.0,8.72,1.0,363.4
BNIP1,228,37.7,48.63,150.84,0.9179,0.8427,6.999,1.375,2.1773,0.2991,5.3,9.39,7.0,275.6
BOP1,746,72.13,93.04,214.5,0.8338,0.6958,4.672,1.228,2.6548,0.175,-14.7,5.76,-41.6,2264.3
BRD2,801,48.74,62.87,152.05,0.135,0.031,1.378,1.0092,1.746,0.3152,18.0,9.48,1.6,2016.8
BRD3,726,44.36,57.22,162.37,0.1521,0.0248,1.295,1.006,1.6497,0.3474,26.2,9.78,26.1,1469.1
BRD4,1362,56.96,73.48,182.36,0.0952,0.0099,1.18,1.0024,1.6678,0.2715,29.5,9.6,34.7,1520.9
BTF3,206,40.88,52.73,128.73,0.4456,0.226,2.66,1.0886,2.4535,0.3484,5.3,9.92,2.1,844.4
BUD23,281,32.32,41.69,111.55,0.7226,0.5249,3.624,1.1564,1.7238,0.4149,6.3,8.9,10.2,893.9
BYSL,437,31.31,40.39,117.78,0.3522,0.1327,1.872,1.0358,1.4122,0.478,2.9,8.19,-5.6,374.9
C14orf119,140,25.34,32.69,88.51,0.6268,0.3974,2.967,1.1102,1.7617,0.551,-6.7,4.71,-2.9,34.8
C18orf21,220,31.8,41.03,105.82,0.6382,0.4155,3.333,1.136,1.8617,0.4291,29.7,10.71,14.2,116.5
C7orf50,194,25.4,32.76,78.56,0.2424,0.0646,1.541,1.0169,1.5596,0.6003,9.4,10.1,6.1,109.9
C9orf78,289,39.35,50.76,123.02,0.3996,0.192,2.494,1.0771,2.0766,0.3658,-1.5,6.34,4.3,492.7
CAD,2225,45.31,58.45,133.89,0.1211,0.0368,1.414,1.0108,1.1011,0.3385,-28.7,6.0,-29.1,871.8
CAMK1,370,24.85,32.06,88.32,0.219,0.0794,1.742,1.0279,1.194,0.6069,-15.9,4.99,-7.7,78.2
CANX,592,41.15,53.08,139.13,0.1443,0.0296,1.363,1.0086,1.6536,0.3736,-61.1,4.31,-53.8,947.3
CAPRIN1,709,49.21,63.48,173.62,0.1812,0.0342,1.344,1.0078,1.8466,0.3126,-22.6,5.01,-10.3,1666.1
CASP3,277,21.77,28.08,79.36,0.3315,0.1108,1.644,1.0224,1.1675,0.6966,-3.2,6.09,-9.5,173.4
CCDC22,627,50.51,65.16,162.17,0.3297,0.1246,1.916,1.0385,1.9861,0.2956,-4.4,6.3,-10.8,455.8
CCDC47,483,37.86,48.85,147.04,0.3449,0.1732,2.592,1.0839,1.644,0.3778,-32.2,4.61,-43.8,1113.9
CCDC86,360,46.85,60.43,153.68,0.2615,0.0744,1.588,1.0193,2.2743,0.3247,29.4,10.82,3.3,409.4
