gene,accession,rg_angstrom,rh_angstrom,dmax_angstrom,axial_ratio,n_residues_est,net_charge,isoelectric_point,surface_charge,charge_dipole,perrin_friction,compactness_vs_globular,diffusion_relative
ACTB,P60709,21.564,27.818,69.656,2.155,375,-11.1,5.179,-16.6,94.622,1.054,1.0308,0.6821
ACTN1,P12814,56.692,73.133,191.823,4.924,892,-35.3,5.132,-36.8,295.58,1.2448,1.9497,0.2197
ATP2A2,P16615,39.075,50.407,137.906,3.487,1042,-23.7,5.095,-26.3,884.209,1.1468,1.2667,0.346
CETN2,P41208,24.098,31.086,90.01,2.891,172,-8.0,4.76,-6.0,224.203,1.1048,1.549,0.5823
CTNNB1,P35222,48.156,62.121,186.074,3.111,781,-22.3,5.469,-39.7,324.401,1.1204,1.7419,0.2874
DSP,P15924,64.065,82.644,217.989,2.599,2272,-4.7,6.55,-12.4,254.595,1.0844,1.5444,0.2232
FBL,P22087,27.62,35.63,94.3,1.524,321,20.1,10.589,21.3,257.525,1.016,1.4007,0.5525
GJA1,P17302,38.347,49.467,130.445,2.589,382,9.8,8.902,3.5,248.385,1.0837,1.8202,0.3731
HIST1H2BJ,P06899,30.876,39.829,110.652,4.263,126,18.3,10.753,13.0,268.351,1.2004,2.2338,0.4183
LAMP1,P11279,27.689,35.719,108.466,1.85,417,8.9,8.835,7.4,193.475,1.0345,1.2713,0.5413
LMNB1,P20700,74.385,95.957,299.93,5.88,586,-22.3,4.962,-25.4,918.101,1.3064,3.001,0.1595
MYH10,P35580,57.962,74.771,242.649,1.927,1976,-53.6,5.312,-35.6,1620.304,1.0392,1.4734,0.2574
NPM1,P06748,37.783,48.74,143.205,2.701,294,-23.5,4.489,-20.0,1096.819,1.0915,1.9811,0.3759
NUP153,P49790,66.025,85.173,194.159,1.354,1475,25.1,8.805,4.9,261.251,1.0082,1.8756,0.2329
PXN,P49023,49.948,64.433,167.231,2.273,591,-11.2,5.764,-5.8,546.442,1.0619,2.0086,0.2923
RAB5A,P20339,25.625,33.056,98.128,2.748,215,2.2,8.229,-0.9,199.059,1.0948,1.5132,0.5526
SEC61B,P60468,30.896,39.856,96.456,3.666,96,10.1,12.06,6.0,164.9,1.1593,2.4786,0.4329
SLC25A17,O43808,21.222,27.377,67.567,1.537,307,19.8,10.457,9.6,168.487,1.0167,1.0946,0.7186
SMC1A,Q14683,63.93,82.469,198.185,4.202,1233,2.9,7.492,-24.1,648.192,1.1963,1.9441,0.2027
SON,P18583,62.556,80.697,186.428,1.474,2426,-44.5,5.387,-19.3,3883.934,1.0136,1.4709,0.2445
ST6GAL1,P15907,26.466,34.141,117.316,1.583,406,14.0,9.263,14.6,251.679,1.0191,1.2275,0.5748
TJP1,Q07157,57.424,74.077,177.945,1.128,1748,-17.3,6.235,-24.2,559.818,1.0013,1.5293,0.2696
TOMM20,Q15388,27.356,35.289,92.549,4.316,145,3.1,8.895,0.0,293.432,1.204,1.8763,0.4707
TUBA1B,P68363,21.856,28.194,84.246,1.612,451,-22.7,4.806,-19.4,335.642,1.0206,0.974,0.6951
